id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1599593689.044000,U016BTBS3MM,<https://twitter.com/William94029369/status/1303414031903002624>,"Mon, 19 Jan 1970 12:19:53 GMT",,,"[{""name"":""heart"",""users"":[""U017DN0DZ08"",""U0172CB3649"",""U017E2A2KPS"",""U016C8XH6NR""],""count"":4},{""name"":""heavy_check_mark"",""users"":[""U017E2A2KPS"",""U016C8XH6NR""],""count"":2}]",6
1599593655.043700,U016BTBS3MM,I just put out a beast of an article on events and logs based on research I started when I was here in KERNEL: <https://medium.com/linum-labs/everything-you-ever-wanted-to-know-about-events-and-logs-on-ethereum-fec84ea7d0a5>,"Mon, 19 Jan 1970 12:19:53 GMT",,,"[{""name"":""seedling"",""users"":[""U016QSTSQQM"",""U017DN0DZ08"",""U0172CB3649""],""count"":3}]",3
1599582613.042800,U017EP3GQM6,<https://twitter.com/parcelHQ/status/1303369426910154758>,"Mon, 19 Jan 1970 12:19:42 GMT",,,"[{""name"":""heart"",""users"":[""U017DN0DZ08"",""U017EP3GQM6"",""U017E2A2KPS"",""U016C8XH6NR""],""count"":4},{""name"":""heavy_check_mark"",""users"":[""U017E2A2KPS""],""count"":1}]",5
1599532058.041200,U01733WAA1F,"Hey all, my co-founder Chase will be part of a panel in Diffusion Digital next week, with other great blockchain gaming people from Sandbox, Dapper, Twitch and Animoca :raised_hands: Hope you guys can join us! There are other great panels not just on gaming but also on DeFi, Data Privacy, Community Development, and other topics <https://www.linkedin.com/posts/opgames_join-us-on-diffusion-digital-on-september-activity-6708524815621472256-UmYd>","Mon, 19 Jan 1970 12:18:52 GMT",,,"[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U017E2A2KPS"",""U017G0TNCFN"",""U017DN0DZ08"",""U016BTBS3MM""],""count"":5},{""name"":""raised_hands"",""users"":[""U017G0TNCFN"",""U017DN0DZ08""],""count"":2}]",7
1599488555.036400,U016QSTSQQM,"It has been really difficult to get Web3 working in React Native for some time. A lot of developers <https://gist.github.com/dougbacelar/29e60920d8fa1982535247563eb63766|struggle with shimming support>, and in the past I've tried to roll out complete <https://github.com/cawfree/web3-react-native|native libraries> which hurts portability for both on the Web or future platforms that will be added to the RN stack i.e. `macos`.

So, we're really happy to announce that we've managed to get the OG <https://github.com/react-native-anywhere/anywhere/tree/main/examples/web3|Web3 working in React Native without shims or linking>! We've been able to stress test this implementation by <https://github.com/react-native-anywhere/anywhere/tree/main/examples/opengsn|performing gasless transactions in using OpenGSN>. Just a normal `npm i`. No funky stuff! :slightly_smiling_face:

Hope this helps you all! :rocket::rocket::rocket:","Mon, 19 Jan 1970 12:18:08 GMT",,,"[{""name"":""raised_hands"",""users"":[""U01733WAA1F"",""U016H5ETT6J"",""U016C8XH6NR"",""U017DN0DZ08"",""U016HAELGES"",""U016PNPMFSN"",""U016C909613"",""U017G0TNCFN""],""count"":8},{""name"":""clap"",""users"":[""U01733WAA1F"",""U016H5ETT6J"",""U016C8XH6NR"",""U017DN0DZ08"",""U016PNPMFSN"",""U016C909613"",""U017G0TNCFN""],""count"":7},{""name"":""fire"",""users"":[""U016C8XH6NR"",""U017DN0DZ08"",""U016PNPMFSN"",""U016C909613"",""U017G0TNCFN""],""count"":5},{""name"":""rocket"",""users"":[""U016BTBS3MM""],""count"":1}]",21
1599480345.030900,U0182ST8XGB,"Hey :wave: all, I’d love to extend an invite to deconstructing derivatives this Friday. It’s a day-long event we’re hosting alongside LBL and Outlier and we have 15+ thought leaders from the space (including fellow Kernel fellow Pods) hosting talks, workshops, AMAs, and panels. The content progresses in complexity throughout the day and is geared towards all levels. RSVP here (thanks for showing me Airmeet :fire:) <https://www.airmeet.com/e/c267a7f0-e2e6-11ea-b46c-5fc7928400a3>","Mon, 19 Jan 1970 12:18:00 GMT",1599480345.030900,,"[{""name"":""fire"",""users"":[""U016QSTSQQM"",""U01733WAA1F"",""U016BTBS3MM""],""count"":3}]",3
1599605777.045300,U0172CTQ3A5,Awesome - Somehow the link isn’t opening for me right now. What time is it? Would love to join,"Mon, 19 Jan 1970 12:20:05 GMT",1599480345.030900,,,0
1599641401.046000,U0182ST8XGB,oh no.. hmm try this <https://www.airmeet.com/e/c267a7f0-e2e6-11ea-b46c-5fc7928400a3>,"Mon, 19 Jan 1970 12:20:41 GMT",1599480345.030900,,,0
1599641453.046300,U0182ST8XGB,It’s 2 - 9pm UK time so should be multi-time zone compatible :slightly_smiling_face:,"Mon, 19 Jan 1970 12:20:41 GMT",1599480345.030900,,,0
1599026655.020300,U016QSTSQQM,"Hey all! <@U016PNPMFSN> and I were up all night, but it was worth it. Uni's landing page is now live!
<https://www.getuni.app/>","Mon, 19 Jan 1970 12:10:26 GMT",1599026655.020300,U016PNPMFSN,"[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U017DN0DZ08"",""U016PP38YLA"",""U016C909613"",""U016Q1J7Y83"",""U016Z7XQC7N"",""U016HFP7P2A"",""U0172CTQ3A5"",""U017E2A2KPS""],""count"":9},{""name"":""rocket"",""users"":[""U017DN0DZ08"",""U016NEJETQV"",""U016C909613"",""U016C8XH6NR"",""U016Q1J7Y83"",""U016HFP7P2A"",""U017E2A2KPS""],""count"":7},{""name"":""+1"",""users"":[""U016W0C1FNG"",""U017E2A2KPS""],""count"":2},{""name"":""100"",""users"":[""U017E2A2KPS""],""count"":1}]",19
1599027177.020500,U016Q0F66FM,this is awesome,"Mon, 19 Jan 1970 12:10:27 GMT",1599026655.020300,,"[{""name"":""raised_hands"",""users"":[""U016QSTSQQM"",""U016PNPMFSN"",""U016HFP7P2A""],""count"":3}]",3
1599027229.020800,U016QSTSQQM,Thanks <@U016Q0F66FM>!,"Mon, 19 Jan 1970 12:10:27 GMT",1599026655.020300,U016Q0F66FM,,0
1599029624.021000,U01693HHP9V,great stuff,"Mon, 19 Jan 1970 12:10:29 GMT",1599026655.020300,,"[{""name"":""pray"",""users"":[""U016PNPMFSN"",""U016HFP7P2A""],""count"":2}]",2
1599031273.021300,U01733WAA1F,love the design! :heart:,"Mon, 19 Jan 1970 12:10:31 GMT",1599026655.020300,,"[{""name"":""pray"",""users"":[""U016PNPMFSN"",""U016HFP7P2A""],""count"":2}]",2
