id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1598027167.035100,U0169JV8C95,"I think since maybe many of the members might be in transit phase from web2 to web3 and it's only the first appollo event for them  , it's Better to assess after some time.","Mon, 19 Jan 1970 11:53:47 GMT",,,"[{""name"":""100"",""users"":[""U017EP3GQM6""],""count"":1}]",1
1598023680.031000,U016C909613,"the highest question to answer: *if they were in KERNEL, would you be very happy?* 

technical competence is also important of course, but slightly secondary to the above.","Mon, 19 Jan 1970 11:53:43 GMT",,,"[{""name"":""sparkles"",""users"":[""U0172CB3649"",""U017E2A2KPS"",""U01733WAA1F"",""U0169JV8C95"",""U016C909613"",""U0172CM3049""],""count"":6}]",6
1598022807.029800,U0172CB3649,We really had a nice conversation! Also a special guest at the end :slightly_smiling_face: We discussed about trust and beyond moving to incentive mechanisms and Filecoin’s vision. Cool projects and interested/ing candidates! Filling my form now.,"Mon, 19 Jan 1970 11:53:42 GMT",1598022807.029800,,,0
1598031650.036200,U016C909613,who was the special guest?!,"Mon, 19 Jan 1970 11:53:51 GMT",1598022807.029800,,"[{""name"":""grin"",""users"":[""U0172CB3649""],""count"":1}]",1
1598031655.036400,U016C909613,thanks for coming again Bianca :heart:,"Mon, 19 Jan 1970 11:53:51 GMT",1598022807.029800,,"[{""name"":""innocent"",""users"":[""U0172CB3649""],""count"":1},{""name"":""pray"",""users"":[""U0172CB3649""],""count"":1}]",2
1598042882.037200,U0172CB3649,thanks for inviting me again!,"Mon, 19 Jan 1970 11:54:02 GMT",1598022807.029800,,,0
1598042941.037400,U0172CB3649,(special guest because he popped in right 5 minutes before the end of the extra time :sweat_smile: mentioned in the questionnaire!),"Mon, 19 Jan 1970 11:54:02 GMT",1598022807.029800,,,0
1598022787.029500,U01733WAA1F,"had a good group as well, had 2 that weren't able to participate though i think from network connection issues","Mon, 19 Jan 1970 11:53:42 GMT",,,,0
1598022558.027200,U017E2A2KPS,"Too bad I need to sleep, I could speak to them for hours: so much depth. Will update the Notion <@U016C8XH6NR>","Mon, 19 Jan 1970 11:53:42 GMT",,U016C8XH6NR,,0
1598022294.024700,U017E2A2KPS,What a lovely bunch. Admit all of them please:-),"Mon, 19 Jan 1970 11:53:42 GMT",,,"[{""name"":""sparkles"",""users"":[""U0172CM3049"",""U0172CB3649"",""U016C909613""],""count"":3}]",3
1598022282.024300,U017EP3GQM6,it was really great to discuss about trust as all the members at my table are really new to this. We discussed about trust in general and how we can build open verifiable systems. All members was taking part in the conversation and very open for discussion. I gave the feedback on the notion form as well.,"Mon, 19 Jan 1970 11:53:42 GMT",,,,0
1598022067.021100,U016C909613,<!channel> curious for your comments while they are fresh :slightly_smiling_face:,"Mon, 19 Jan 1970 11:53:42 GMT",,,,0
1598021792.020100,U017DTA3PB2,<@U017DTA3PB2> has joined the channel,"Mon, 19 Jan 1970 11:53:41 GMT",,,,0
1598021483.018900,U016Q825Y3U,"<@U016C8XH6NR> <@U016C909613> If people have no specific interest (or even context for Filecoin/IPFS), should that disqualify them from Apollo?  Like last time, I can't defacto rule anybody out but 2 of the 3 folks at my table didn't seem to really have any background whatsoever, so just want to be fair in my comments","Mon, 19 Jan 1970 11:53:41 GMT",1598021483.018900,"U016C8XH6NR,U016C909613",,0
1598021614.019000,U016C909613,i do think context matters here. if they arent building thats one thing,"Mon, 19 Jan 1970 11:53:41 GMT",1598021483.018900,,,0
1598021636.019200,U016C909613,"but if they dont seem interested / like KERNEL quality, that will keep them out for now","Mon, 19 Jan 1970 11:53:41 GMT",1598021483.018900,,,0
1598021692.019400,U016Q825Y3U,"Okay, I'm not sure how much of it was a language barrier and how much was just lack of context.  I just didn't get strong vibes like ""oh yeah"" person X is kernel material","Mon, 19 Jan 1970 11:53:41 GMT",1598021483.018900,,,0
1598021754.019600,U016Q825Y3U,But also don't want to rule someone out just because they aren't extroverted and loud like me :grimacing:,"Mon, 19 Jan 1970 11:53:41 GMT",1598021483.018900,,"[{""name"":""joy"",""users"":[""U0172CM3049""],""count"":1}]",1
1598021897.020300,U016C8XH6NR,"Haha, i understand Andrew. But your comments on the profile last time were extremely helpful in judging the applicants.","Mon, 19 Jan 1970 11:53:41 GMT",1598021483.018900,,,0
1598021924.020500,U016C8XH6NR,Hoping for the same this time. :rainbow: :raised_hands:,"Mon, 19 Jan 1970 11:53:41 GMT",1598021483.018900,,,0
1598022096.021400,U016Q825Y3U,"Ugh, speaking of, I can't figure out where mine went.  I think notion just ate them","Mon, 19 Jan 1970 11:53:42 GMT",1598021483.018900,,,0
1598022181.022900,U016Q825Y3U,"Nm, found it and added a new row so you'll see them there","Mon, 19 Jan 1970 11:53:42 GMT",1598021483.018900,,,0
1598021311.017400,U016Q825Y3U,Table 6 was...interesting this go round,"Mon, 19 Jan 1970 11:53:41 GMT",,,,0
1598020007.017000,U0169JV8C95,Didn't know the event was today :sweat_smile:,"Mon, 19 Jan 1970 11:53:40 GMT",,,,0
1598019440.016500,U0169JV8C95,"Apologies <@U016C8XH6NR>  buddy I didn't Know it was today , Currently in a work meeting won't be able to make it.
Will be available for upcoming events :)","Mon, 19 Jan 1970 11:53:39 GMT",1598019440.016500,,,0
1598021773.019800,U016C8XH6NR,"No worries bro, it was last minute call just to check if you are up for it. As you were in the last session as well. All good. :rainbow:","Mon, 19 Jan 1970 11:53:41 GMT",1598019440.016500,,,0
1598019373.014600,U0169JV8C95,Hi Guys great to be here :smiley:,"Mon, 19 Jan 1970 11:53:39 GMT",,,,0
1598018584.013500,U016C909613,<https://www.airmeet.com/event/b7a8ab80-de17-11ea-9eea-73aefc2be4e8>,"Mon, 19 Jan 1970 11:53:38 GMT",,,"[{""name"":""pray"",""users"":[""U0172CB3649"",""U0172CM3049""],""count"":2}]",2
1598018575.013300,U0172CB3649,is the Airmeet link the same one of last time?,"Mon, 19 Jan 1970 11:53:38 GMT",,,,0
1598018291.012500,U016C8XH6NR,If anyone wanna join us now — you can just come to airmeet :slightly_smiling_face:,"Mon, 19 Jan 1970 11:53:38 GMT",,,,0
1598018273.011900,U0169JV8C95,<@U0169JV8C95> has joined the channel,"Mon, 19 Jan 1970 11:53:38 GMT",,,,0
1598018216.011400,U016C8XH6NR,"Hey guys! Here are the table assignments for today guys.
<https://www.notion.so/gitcoin/6cee45688050462086e9e976e30f6c83?v=c4ee11e9c14f45048c2e346201e04cef>","Mon, 19 Jan 1970 11:53:38 GMT",1598018216.011400,,,0
