id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1596929985.056500,U016T0QSCMT,Great mindfulness app,"Mon, 19 Jan 1970 11:35:29 GMT",,,,0
1596929971.056000,U016T0QSCMT,<https://www.mindfi.co/>,"Mon, 19 Jan 1970 11:35:29 GMT",,,,0
1596764387.054200,U016T0QSCMT,"Intense stretching for 10-15 mins a day, can make you just that much more productive and its a great way to take a break when you're in the middle of solving a difficult problem","Mon, 19 Jan 1970 11:32:44 GMT",1596764387.054200,,,0
1596764414.054300,U016C909613,any specific stretches you like / a video you follow?,"Mon, 19 Jan 1970 11:32:44 GMT",1596764387.054200,,,0
1596784448.054800,U016C8XH6NR,+1,"Mon, 19 Jan 1970 11:33:04 GMT",1596764387.054200,,,0
1596790283.055100,U016T0QSCMT,"Netflix and stret-chill! Im a fan of the lotus, half lotus, firelog + any other random stretch like straddles and pikes","Mon, 19 Jan 1970 11:33:10 GMT",1596764387.054200,,"[{""name"":""rainbow"",""users"":[""U016C8XH6NR""],""count"":1}]",1
1596281041.049100,U016T0QSCMT,"Natural shortcuts for anyone secretly in the 4-6 range. For morning after a bite or two to eat: Omega 3 fish oil suppliment (support mood), teaspoon manuka honey (natures fix to pretty much anything ""off"" inside you),  B-complex (helps convert food to energy), bayer caffeine aspirin tablet (helps blood circulation, and has better, more subtle affect than coffee). Caffeine tab is optional. But an aspirin a day is really good for you and preemptively beats headaches you may encounter from pushing mental muscle around.
Night time: fishoil tablet, 300-600mg magnesium citrate tablet. (for muscle relaxation). Valarian root extract or suppliment if trouble sleeping. Also disclaimer: I am not a doctor","Mon, 19 Jan 1970 11:24:41 GMT",,,"[{""name"":""heart"",""users"":[""U016PUK3G9Z""],""count"":1}]",1
1596217248.032000,U016T0QSCMT,"6 months in, I still do micro-versions of this regularly. Very good for meditation. Best leveraged after a quick cold shower (at least for me). Has helped both my personal and professional life. Best to start with the music/a guide (friend), but not required if you have a bit of experience with deep meditation. After introductory phase/getting used to it for a week or so, it becomes pretty easy to completely clear your mind and wander along with your ""inner brain"" and discover what your inner-you needs (shed ego). Again, different things work for different people: this was a major game changer for me","Mon, 19 Jan 1970 11:23:37 GMT",1596217248.032000,,,0
1596269380.036200,U0176E6JUMA,"this is awesome, thanks for sharing!","Mon, 19 Jan 1970 11:24:29 GMT",1596217248.032000,,"[{""name"":""+1"",""users"":[""U016T0QSCMT""],""count"":1}]",1
1596217004.025700,U016T0QSCMT,<https://youtu.be/prfll4C1zw0>,"Mon, 19 Jan 1970 11:23:37 GMT",,,"[{""name"":""heavy_check_mark"",""users"":[""U017E2A2KPS""],""count"":1}]",1
1596132547.024000,U018QN6A932,<@U018QN6A932> has joined the channel,"Mon, 19 Jan 1970 11:22:12 GMT",,,,0
1596132529.023800,U0176G2AZFF,<@U0176G2AZFF> has joined the channel,"Mon, 19 Jan 1970 11:22:12 GMT",,,,0
1596108414.023000,U0172CM3049,<@U0172CM3049> has joined the channel,"Mon, 19 Jan 1970 11:21:48 GMT",,,,0
1596108401.022800,U016C909613,<@U016C909613> has joined the channel,"Mon, 19 Jan 1970 11:21:48 GMT",,,,0
1596107523.022200,U016T0QSCMT,This is the best channel in this workspace,"Mon, 19 Jan 1970 11:21:47 GMT",,,"[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U0176E6JUMA"",""U016C909613"",""U017E2A2KPS"",""U0172G1A28H"",""U0172CM3049""],""count"":6}]",6
1596103780.021200,U0172G1A28H,Life hack,"Mon, 19 Jan 1970 11:21:43 GMT",1596103780.021200,,,0
1596107450.021600,U016T0QSCMT,"Thanks for sharing! Oh, theres that oxytocin. Oxytocin accomplishment: oh dopamine. Awesome!","Mon, 19 Jan 1970 11:21:47 GMT",1596103780.021200,,,0
1596046701.019500,U016C8XH6NR,Thanks for sharing this <@U0176E6JUMA>. These all are great :heart:,"Mon, 19 Jan 1970 11:20:46 GMT",,U0176E6JUMA,,0
1596035014.019000,U016HL16614,<@U016HL16614> has joined the channel,"Mon, 19 Jan 1970 11:20:35 GMT",,,,0
1596031348.018800,U01733WAA1F,<@U01733WAA1F> has joined the channel,"Mon, 19 Jan 1970 11:20:31 GMT",,,,0
1596029633.018600,U017F30AFRP,<@U017F30AFRP> has joined the channel,"Mon, 19 Jan 1970 11:20:29 GMT",,,,0
1596025090.017300,U016Q1J7Y83,<@U016Q1J7Y83> has joined the channel,"Mon, 19 Jan 1970 11:20:25 GMT",,,,0
1596024646.017100,U016T0QSCMT,<@U016T0QSCMT> has joined the channel,"Mon, 19 Jan 1970 11:20:24 GMT",,,,0
1596021835.016900,U016NEJETQV,<@U016NEJETQV> has joined the channel,"Mon, 19 Jan 1970 11:20:21 GMT",,,,0
1596018580.016600,U016Q117G67,<@U016Q117G67> has joined the channel,"Mon, 19 Jan 1970 11:20:18 GMT",,,,0
1596017749.016200,U0176E6JUMA,"Here’s something very cool I’ve listened to recenty:
really recommend this episode of the Joe Rogan podcast with Neuroscientist Andrew Huberman (@hubermanlab on Instagram):
<http://podcasts.joerogan.net/podcasts/andrew-huberman>

His lab at Stanford focuses on sleep, stress and learning - more specifically how we can tap into those seemingly unconscious systems and get better at them. 

The most important trigger combination for learning (neuroplasticity) at an age above 25 is the sense of *urgency* (produced by fear, an ice bath, breathing exercises etc.) and *focus* (even visually zooming into something specific). Those two actions, which we also perceive as *attention* trigger neuroplastic events, which then happen at an increased speed in our brains while we sleep or in states of *deep rest* (hypnosis, yoga nidra, meditation).

at some point, we might feel like we burn out or stressed and need rest, because we don’t have attention forever. it turns out that our brain actually counts the release of chemicals responsible for the actions above. but *joy, happyness and fun activities* can push back this counter and make is do even more.

they obviously talk more about how to make use of these actions and their chemical interactions (noradrenaline, acetylcholine and dopamine) but in general these strategies can help a lot in making more of our stressful days.","Mon, 19 Jan 1970 11:20:17 GMT",1596017749.016200,,"[{""name"":""heart"",""users"":[""U01733WAA1F""],""count"":1}]",1
1596098337.020600,U01733WAA1F,"just watched it, great stuff! Great overview of how the brain affects just not our everyday lives but the part it plays in our response to the pandemic. The part about the :eyes: being part of the nervous system was  :exploding_head:","Mon, 19 Jan 1970 11:21:38 GMT",1596017749.016200,,,0
1596017704.015300,U0176E6JUMA,"I realised that polly doesn’t do the recurring polls for free anymore so I’m working on an alternative solution for the daily poll. in the meantime, I’ll post some other cool stuff you might find useful!","Mon, 19 Jan 1970 11:20:17 GMT",,,"[{""name"":""pray"",""users"":[""U016C8XH6NR""],""count"":1}]",1
1596015195.012500,U017E2A2KPS,Chuffed to see this channel. Thanks for placing a priority on mental health and physical well being.  KERNEL is such a special place. Well done as always Sachinooooo <@U016C8XH6NR>,"Mon, 19 Jan 1970 11:20:15 GMT",,U016C8XH6NR,"[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U0176E6JUMA"",""U016PEM9U5B"",""U0172CM3049""],""count"":4}]",4
1596014989.011100,U017E2A2KPS,<@U017E2A2KPS> has joined the channel,"Mon, 19 Jan 1970 11:20:14 GMT",,,,0
1596013150.010800,U0169JV8C95,<@U0169JV8C95> has joined the channel,"Mon, 19 Jan 1970 11:20:13 GMT",,,,0
1596011890.010600,U016M08G1M4,Should we do this at Kernel?,"Mon, 19 Jan 1970 11:20:11 GMT",,,"[{""name"":""heavy_check_mark"",""users"":[""U016PUK3G9Z"",""U017E2A2KPS""],""count"":2}]",2
1596011809.009800,U016M08G1M4,"Andrej, how would this be used in the working setting? Is this like a daily poll? And what if you uncover that someone isn’t happy? Would you tailor what you say depending on their mood? And what if someone is consistently unhappy? Sorry for bombarding you with a ton of questions :)","Mon, 19 Jan 1970 11:20:11 GMT",1596011809.009800,,,0
1596017416.013900,U0176E6JUMA,"great question! ideally it would be a daily poll, yes. I’m working on a solution, unfortunately <http://polly.ai|polly.ai> made recurring polls part of their paid plan and it’s unnecessarily expensive.

I think the reaction is kind of up to you, it seems difficult for me to say how to do it “right”. but my observation so far was that yes, given the context that someone doesn’t feel good we try to be careful when writing because everything might get misinterpreted.

I think the same goes for if someone is consistently unhappy. How would you treat your friends if they were unhappy? I would probably approach them and start a conversation, even if it feels uncomfortable.

keep the questions coming, I’m happy to answer!","Mon, 19 Jan 1970 11:20:17 GMT",1596011809.009800,,,0
