id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1599236049.026900,U0169JV8C95,"Hi Everyone,
Hope Everyone is doing well,
I am building <https://hack.ethglobal.co/showcase/shop-fs-recSnBFT0TY7XgYNK|Shop FS> as part of the Apollo Program and have crafted a <https://docs.google.com/forms/d/e/1FAIpQLSd2Wgdp1yPDyH2wZs9XGyfZm2SPG6uHKDY9hyGAUqeTOgqVVA/viewform?usp=sf_link|Survey>,
If possible can guys take out some time and fill it,
that would be pretty helpful  :slightly_smiling_face:
Thanks","Mon, 19 Jan 1970 12:13:56 GMT",,,,0
1598320887.009500,U016C909613,"Howdy <!channel> please take a few minutes this week to reflect on your KERNEL experience with us. we’d truly *love* to hear your <https://kernel.community/module-5/listening-stories/|stories>.

We’ll be sharing the summarized responses with Vitalik *in our fireside on 8/27* so would be great if you could fill out before then.

to get the :train2: really going, after filling it out, plz tag anyone who you reference in your reflections :slightly_smiling_face:

<https://gitcoin.typeform.com/to/nv4Oi4ak>","Mon, 19 Jan 1970 11:58:40 GMT",,,"[{""name"":""heavy_check_mark"",""users"":[""U017E2A2KPS"",""U017G0TNCFN"",""U017DN0DZ08"",""U0172CB3649"",""U01691XLMD5"",""U016A43FT0F"",""U019SGAQGE4""],""count"":7},{""name"":""seedling"",""users"":[""U016C8XH6NR"",""U017DN0DZ08"",""U0172CB3649"",""U016PP38YLA"",""U01691XLMD5"",""U016PVCCZDG"",""U016QSTSQQM"",""U016A43FT0F""],""count"":8},{""name"":""eyes"",""users"":[""U016C8XH6NR"",""U017DN0DZ08"",""U0172CB3649"",""U01691XLMD5"",""U016A43FT0F""],""count"":5},{""name"":""party_parrot"",""users"":[""U01758RQ941"",""U01691XLMD5""],""count"":2},{""name"":""deciduous_tree"",""users"":[""U016QSTSQQM""],""count"":1}]",23
1597947056.005400,U016X212QMA,":sparkles: *CALL FOR EARLY TESTERS* :sparkles:
*-----------------------------------------*
Hey everyone we at <#C017LH1M3JA|project-dfame> wanna onboard the first users to a private and closed test run within the next week. Hopefully starting on Monday. to give feedback, learn, and develop the product directly with users. Generally, it would be great if you already have a roll wallet or would like to create one. Currently, there will be only one community but we work to get more social tokens on the platform as soon as possible.

So if you are excited about social money, community tokenization, etc. and. would like to be early tester pleas contact us in the <#C017LH1M3JA|project-dfame> channel or sign up through the website and mention that you come from Kernel:pray::seedling:

<https://www.dfame.app/>","Mon, 19 Jan 1970 11:52:27 GMT",,,"[{""name"":""party_parrot"",""users"":[""U016PP38YLA"",""U0172G1A28H"",""U017E2A2KPS""],""count"":3},{""name"":""fire"",""users"":[""U017E2A2KPS""],""count"":1}]",4
1597245454.221900,U016M08G1M4,"I have some feedback from today’s session.

<@U016C909613> you asked about who wants to present to the whole group, and I said I do. But then the next thing I saw is the message saying thanks everyone for joining :slightly_smiling_face:

Confused :slightly_smiling_face: And then in the end I also saw a table with the name of my company, which wasn’t there at the start. Also confused :slightly_smiling_face:","Mon, 19 Jan 1970 11:40:45 GMT",1597245454.221900,U016C909613,,0
1597246537.222000,U016C909613,cc <@U016C8XH6NR> on these for next time. thanks for sharing!,"Mon, 19 Jan 1970 11:40:46 GMT",1597245454.221900,U016C8XH6NR,"[{""name"":""heart"",""users"":[""U016M08G1M4""],""count"":1}]",1
1597246821.222200,U016C8XH6NR,"Sorry for the trouble bro,
1. strange thing with “everyone for joining” — will ping airmeet team.
2. yes, on the basis of attendance i changed the tables name. :))","Mon, 19 Jan 1970 11:40:46 GMT",1597245454.221900,,"[{""name"":""raised_hands"",""users"":[""U016M08G1M4""],""count"":1}]",1
1597247486.222600,U016M08G1M4,No worries at all,"Mon, 19 Jan 1970 11:40:47 GMT",1597245454.221900,,,0
1597247491.222800,U016M08G1M4,thank you for clarifications,"Mon, 19 Jan 1970 11:40:47 GMT",1597245454.221900,,,0
1597250796.223000,U017EF8VBS4,+1 <@U016M08G1M4> I wasn’t ready to pitch nor was I in a locale (noisy office) where I could even if I was ready with a deck (older one). Upvest was on a table and I could only listen in on the conversation.,"Mon, 19 Jan 1970 11:40:50 GMT",1597245454.221900,U016M08G1M4,"[{""name"":""raised_hands"",""users"":[""U016M08G1M4"",""U016UNBDY5R""],""count"":2}]",2
1597254452.223300,U017EF8VBS4,but also I take responsibility for not being able to act on <@U016C909613> headups last week on thrusday about the event..,"Mon, 19 Jan 1970 11:40:54 GMT",1597245454.221900,U016C909613,,0
1597255612.223600,U016M08G1M4,"what happened last week? I was on a holiday so missed everything.

I get a feeling that a lot has happened in that week","Mon, 19 Jan 1970 11:40:55 GMT",1597245454.221900,,,0
1597259770.223900,U017EF8VBS4,<https://youtu.be/djQhzNA9bzc?t=258>,"Mon, 19 Jan 1970 11:40:59 GMT",1597245454.221900,,,0
1597260176.224200,U017EF8VBS4,<@U016C8XH6NR> bro add me up on the dev-tooling  expo day - that’s day after right?,"Mon, 19 Jan 1970 11:41:00 GMT",1597245454.221900,U016C8XH6NR,,0
1597262562.224400,U016M08G1M4,"<@U017EF8VBS4> I think you can register up for that yourself, check out the Notion, if you haven’t seen :slightly_smiling_face:","Mon, 19 Jan 1970 11:41:02 GMT",1597245454.221900,U017EF8VBS4,"[{""name"":""+1"",""users"":[""U017EF8VBS4""],""count"":1}]",1
1597300509.225000,U016C8XH6NR,"Thank naz. <@U017EF8VBS4> you can check out the details here. It includes a signup sheet where you can register.
<https://www.notion.so/gitcoin/KERNEL-Midway-Expo-Week-422e91c499aa45b5a93a3c31e7abc09c>","Mon, 19 Jan 1970 11:41:40 GMT",1597245454.221900,U017EF8VBS4,"[{""name"":""+1"",""users"":[""U017EF8VBS4""],""count"":1}]",1
1596807519.218500,U016Q117G67,"Huge thanks to <@U0169FVV2LF> and <@U016WQPK6J0> for recommending great smart contract + design resources, all of which have now been added to <https://kernel.community>

Have a great Friday :heart:","Mon, 19 Jan 1970 11:33:27 GMT",,"U0169FVV2LF,U016WQPK6J0","[{""name"":""seedling"",""users"":[""U016C8XH6NR"",""U0172CB3649"",""U017E2A2KPS"",""U0169FVV2LF"",""U017DN0DZ08"",""U0172G1A28H""],""count"":6},{""name"":""raised_hands"",""users"":[""U0169FVV2LF"",""U017DN0DZ08"",""U016SKSS8AW""],""count"":3}]",9
1596457940.215500,U016T0QSCMT,"<@U0169MFLKQF> yes, the ETH blockchain does give you (essentially) full custody of your funds.","Mon, 19 Jan 1970 11:27:37 GMT",1596038428.199700,,"[{""name"":""heart"",""users"":[""U0169MFLKQF"",""U017E2A2KPS"",""U0172G1A28H""],""count"":3}]",3
1596148170.212800,U017E885WBA,"Hi Kernel fellows,

wanted to show a video prototype we are currently validating with some content creators, we want feedback on a few fronts.
<https://www.youtube.com/watch?v=K0Tk3RF_SAw&amp;feature=youtu.be>
What you see in the video is a payment in Layer 2 under a second and could be as small as a cent of a dollar.
A few things we want to validate:
• Is this better for content creators? what are the problems they have right now for donations and sponsorships? how much pain is there on those payment platforms? 
• would users that watch streaming content want to interact live with the screen they are watching (twitch meets satoshis.place type of deal)?
• we are talking about instant payments as little as 1 cent of a USD which AFAIK is not possible with paypal and such + you cant affect live content with paypal.
• These dynamic widgets could be anything, a poll, a banner, etc. This is to get feedback on the idea and also talk to twitch streamers and other content creators.
We want to incentivize people switching to layer 2 and think just transfers is BORING and not enough for people to use it _yet_.
This was inspired by the kernel module on money as speech <https://kernel.community/module-0/money-language/>
We started asking the question, why cant i sent money to a live event like i type text in a chat box or send an emoji? why cant i change and even impact the content i am watching with live payments?

Any feedback or questions are appreciated, :pray: also our channel is <#C017QNU0U5C|project-stablepay> if you want to chat.","Mon, 19 Jan 1970 11:22:28 GMT",1596148170.212800,,"[{""name"":""heavy_check_mark"",""users"":[""U017E2A2KPS"",""U016T0QSCMT""],""count"":2}]",2
1596409379.214200,U016T0QSCMT,Biometric might really be a great addition to this on the mobile side,"Mon, 19 Jan 1970 11:26:49 GMT",1596148170.212800,,,0
1596041938.202800,U0169MFLKQF,"just to clarify my point.  I believe that, as much as you you are free, you are responsible for act consequences. So be wise.
in fact, the applications that we are building emphasize this idea.
• you really won your money, if you lost your keys, you are going to lose your money . "" your own responsibility no one to blame,  except you""
• keep your private keys safe, if they are stolen, or compromised, you lose your money."" your own responsibility no one to blame,  except you""
• no one can prevent you from sending money to anyone, you can donate this money to charity or you can give it to a terrorist group . 
"" your own responsibility towards this world""
• we as part of the Blockchain community, We are crafting the new technology, we are contributing to shaping it,  we are responsible for what it would look like after 10 years from now. will it make this world better or worse? will it be truly decentralized? will we face a day to say "" take the blockchain back? take the what we call ""web3"" back "" while it's no longer web3 as we want?"" "" our own responsibility, if we really care""","Mon, 19 Jan 1970 11:20:41 GMT",1596038428.199700,,,0
1596038428.199700,U0169MFLKQF,"This is amazing <@U016Q117G67>
<https://kernel.community/module-3/freedom/>
```Freedom is only the ability to be conscious of the constraints within which you operate.```
I would love to add,
```Freedom is your ability to choose your constraints within which you operate. Your consciousness &amp; responsibility towards your act consequences. ```","Mon, 19 Jan 1970 11:20:38 GMT",1596038428.199700,,"[{""name"":""100"",""users"":[""U017E2A2KPS"",""U0172G1A28H"",""U0169JE8HV5""],""count"":3},{""name"":""heart"",""users"":[""U016Q117G67"",""U016C8XH6NR"",""U0169JE8HV5""],""count"":3}]",6
1596039395.202100,U016Q117G67,"Yeah, I thought a lot about that sentence and all its implications. I know some people who like to say that - once off the base of Maslow's pyramid - we have no rights; only responsibilities. If we fulfill them appropriately, our rights arise as a byproduct, not a given.

That said, the goal with the crafted reading is to be as concise as possible. I worry that introducing a term like `consciousness` or `responsibility` , while they are very much implied, might muddy the waters for people who don't think about them in the same way we clearly do...","Mon, 19 Jan 1970 11:20:39 GMT",1596038428.199700,,"[{""name"":""+1"",""users"":[""U0169MFLKQF""],""count"":1},{""name"":""heart"",""users"":[""U0169MFLKQF"",""U0169JE8HV5""],""count"":2}]",3
1596039697.202500,U0169MFLKQF,Got your point.,"Mon, 19 Jan 1970 11:20:39 GMT",1596038428.199700,,,0
1596041938.202800,U0169MFLKQF,"just to clarify my point.  I believe that, as much as you you are free, you are responsible for act consequences. So be wise.
in fact, the applications that we are building emphasize this idea.
• you really won your money, if you lost your keys, you are going to lose your money . "" your own responsibility no one to blame,  except you""
• keep your private keys safe, if they are stolen, or compromised, you lose your money."" your own responsibility no one to blame,  except you""
• no one can prevent you from sending money to anyone, you can donate this money to charity or you can give it to a terrorist group . 
"" your own responsibility towards this world""
• we as part of the Blockchain community, We are crafting the new technology, we are contributing to shaping it,  we are responsible for what it would look like after 10 years from now. will it make this world better or worse? will it be truly decentralized? will we face a day to say "" take the blockchain back? take the what we call ""web3"" back "" while it's no longer web3 as we want?"" "" our own responsibility, if we really care""","Mon, 19 Jan 1970 11:20:41 GMT",1596038428.199700,,,0
1596409453.214400,U016T0QSCMT,True freedom is the ability to be carefree as you move about your life and options,"Mon, 19 Jan 1970 11:26:49 GMT",1596038428.199700,,,0
1596409621.214600,U016T0QSCMT,Sole responsibility and hightened chances of losing everything just because youre not technical but want to try crypto isnt freedom. As an industry this is the greatest problem we can solve... for our users' and their families' sake.,"Mon, 19 Jan 1970 11:26:49 GMT",1596038428.199700,,,0
