id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1598293492.006600,U016UNBDY5R,So invite everyone available this week for a <#C018EES9BSQ|gpt3> wrap-up and outlook for what could be next!,"Mon, 19 Jan 1970 11:58:13 GMT",,,"[{""name"":""+1"",""users"":[""U016R8N9NKX""],""count"":1}]",1
1598290183.004600,U016UNBDY5R,One transcript is still missing due to the fact that my mic was on very low volume and I am reconstructing from paper notes.,"Mon, 19 Jan 1970 11:58:10 GMT",,,,0
1598290100.002500,U016UNBDY5R,@here  Final week and it is still not enough of KERNEL. This should be 8x two weeks (or more hours!),"Mon, 19 Jan 1970 11:58:10 GMT",,,,0
1597768770.018100,U016M08G1M4,<@U016M08G1M4> has joined the channel,"Mon, 19 Jan 1970 11:49:28 GMT",,,,0
1597689238.017900,U016UNBDY5R,"OK, our table at airmeet (32) is limited to 2 seats and marked as DON'T USE - i take it updateding the event through slackbot never really worked :confused:
For those interested in the GPT3/AI junto-&gt; <https://zoom.us/j/9851547883?pwd=K21RMklDcGsycUVTY1YvK21oNTM0dz09>","Mon, 19 Jan 1970 11:48:09 GMT",,,,0
1597227462.017400,U0172CB3649,"<https://www.bbc.co.uk/newsround/53324763>
Not exactly about text generation but…","Mon, 19 Jan 1970 11:40:27 GMT",,,,0
1597216868.017000,U016Z293QVA,<@U016Z293QVA> has joined the channel,"Mon, 19 Jan 1970 11:40:16 GMT",,,,0
1597152494.016800,U016UNBDY5R,"<!here> I hope you find the summaries informative. Earlier summaries will be posted in due course. *If you associate anything of note to any of the past talking points, I invite you to add it in the thread - our hive mind will be grateful!*","Mon, 19 Jan 1970 11:39:12 GMT",,,"[{""name"":""seedling"",""users"":[""U0172CB3649""],""count"":1}]",1
1597152286.014200,U016UNBDY5R,"ICYMI: Talking points from Junto #4 (Aug 10th):
• *NLU attack vectors on legacy and crypto value chains (AntsReview use-case)*: the cost-benefit trade-off of using AI to attack/subvert review processes and human-agent based validation processes. Can we devise hard protections against hybrid bot-human adversaries or do we need to rely on prohibitive cost as our main line of defense?
• *2019 talk recap of SaaS autonomous agents x Token Engineering:*  AI agents following economic objectives are within grasp now. Why isn't adoption coming faster? Are ethical concerns holding people back? Is reinforcement learning a necessary part of on-chain agents?
• *Content Validation in Reputation Systems - GPT3 as a baseline tool that is part of the ecosystem value flow?:* validation steps (e.g. certain roles/functions in a DAO setting) can be split into separate categories where AIaaS fills the roles of the more mundane aspects and human validators are pooled into ""resource pools"" for the more demanding and engaging tasks.","Mon, 19 Jan 1970 11:39:12 GMT",1597152286.014200,,"[{""name"":""+1"",""users"":[""U01691XLMD5""],""count"":1},{""name"":""seedling"",""users"":[""U0172CB3649""],""count"":1}]",2
1597152377.015000,U016UNBDY5R,cc <@U0172CB3649> <@U016Q3JK0RH> <@U01691XLMD5>,"Mon, 19 Jan 1970 11:39:12 GMT",1597152286.014200,"U0172CB3649,U016Q3JK0RH,U01691XLMD5",,0
1597140026.001600,U016UNBDY5R,"This is the slack thread that started it all:  <https://kernel-community.slack.com/archives/C0173F7UJ00/p1594993137155400>
Inside you will find beautiful commentary, further links to amazing use-cases and also many opinions about how doomed we are. Or are we?","Mon, 19 Jan 1970 11:39:00 GMT",,,,0
1597088961.004800,U0172CB3649,<@U0172CB3649> has joined the channel,"Mon, 19 Jan 1970 11:38:08 GMT",,,,0
1597088942.004500,U01691XLMD5,<@U01691XLMD5> has joined the channel,"Mon, 19 Jan 1970 11:38:08 GMT",,,,0
1597088915.004100,U016Q3JK0RH,<@U016Q3JK0RH> has joined the channel,"Mon, 19 Jan 1970 11:38:08 GMT",,,,0
1597074155.003700,U016UNBDY5R,Hence the vision of the GPT3 junto:  *HOW EMERGENT TECH  can be a risk and an opportunity for us here in KERNEL.*,"Mon, 19 Jan 1970 11:37:54 GMT",1597070553.003100,,"[{""name"":""woman-raising-hand"",""users"":[""U0172CB3649""],""count"":1},{""name"":""seedling"",""users"":[""U0172CB3649""],""count"":1},{""name"":""brain"",""users"":[""U0172CB3649""],""count"":1}]",3
1597070553.003100,U016Q117G67,"`GPT-3 is great at creating beautiful language that touches emotion, not hard logic and rational thinking.` such a crazy phenomena when you think about it :thinking_face:","Mon, 19 Jan 1970 11:37:50 GMT",1597070553.003100,,"[{""name"":""space_invader"",""users"":[""U016UNBDY5R""],""count"":1},{""name"":""fire"",""users"":[""U016R8N9NKX""],""count"":1}]",2
1597072985.003400,U016UNBDY5R,"Go as deep as you need is the motto - in the limit deep transformer-based models are learning QnA on a model of the input data. If input ""all"" of human writing you will end up with a very good approximation of what drives humans, what humans express. So, not that crazy from a tech PoV.

What is crazy are possible implications for the nature of work and life. In addition to the ""culture chasm"" building up in societies around the world but the west in particular, we now get a third factor that now is touching a lot more people than robotics did in the beginning.","Mon, 19 Jan 1970 11:37:52 GMT",1597070553.003100,,,0
1597074155.003700,U016UNBDY5R,Hence the vision of the GPT3 junto:  *HOW EMERGENT TECH  can be a risk and an opportunity for us here in KERNEL.*,"Mon, 19 Jan 1970 11:37:54 GMT",1597070553.003100,,"[{""name"":""woman-raising-hand"",""users"":[""U0172CB3649""],""count"":1},{""name"":""seedling"",""users"":[""U0172CB3649""],""count"":1},{""name"":""brain"",""users"":[""U0172CB3649""],""count"":1}]",3
