id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1599484618.153100,U016T0QSCMT,"This was great! Thanks to <@U016C909613> and <@U016C8XH6NR> for putting this on. Was great working with amazing teams and meeting awesome people, such as <@U016W4S9ZGU> <@U016QF0J6G3> <@U0169FVV2LF> <@U017DK86Y6L> <@U016DN2FYQ7> <@U0170F0PN8L> <@U01785AMRR9> <@U017E8UUTUZ>!","Mon, 19 Jan 1970 12:18:04 GMT",,"U016C909613,U016C8XH6NR,U016W4S9ZGU,U016QF0J6G3,U0169FVV2LF,U017DK86Y6L,U016DN2FYQ7,U0170F0PN8L,U01785AMRR9,U017E8UUTUZ","[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U0172CM3049"",""U017DK86Y6L"",""U016C909613"",""U016BTBS3MM"",""U0169FVV2LF""],""count"":6}]",6
1599471495.150800,U016Q1TQAKV,"Hello Kernel family! Really should have done this before now, but sure it's for the best! Special thanks to <@U016C909613> <@U016C8XH6NR> for creating this programme, words can tell how happy I am for participating in the programme. Thanks for <@U016H5ETT6J> <@U017DN0DZ08> <@U017E2A2KPS> for the direct support, advice and contribution to make Kernel worthwhile. Big hug to <@U016R0Q31V1> for becoming a team mate and helping build and grow Web3Bridge and much more big thanks to <@U019P395Y2U> our midway demo day mentor turning Advisor! With his support, we have since we met him have a lot of speed and looking out for the big news. For everyone who we have interacted with, supported us and gave a very great review <@U016Q1J7Y83> <@U0169MFLKQF> <@U016A43FT0F> <@U01748SCQ81> <@U0174MMSKCL> <@U017EGEH0SC> <@U016AMDF215>, really can't keep tagging everyone! Big ups and we should all catch up soon","Mon, 19 Jan 1970 12:17:51 GMT",,"U016C909613,U016C8XH6NR,U016H5ETT6J,U017DN0DZ08,U017E2A2KPS,U016R0Q31V1,U019P395Y2U,U016Q1J7Y83,U0169MFLKQF,U016A43FT0F,U01748SCQ81,U0174MMSKCL,U017EGEH0SC,U016AMDF215","[{""name"":""heart"",""users"":[""U016H5ETT6J"",""U017DN0DZ08"",""U016W0C1FNG"",""U017G0TNCFN"",""U016AMDF215"",""U0169MFLKQF"",""U016Q1J7Y83"",""U017E2A2KPS"",""U016C8XH6NR"",""U0172CM3049""],""count"":10},{""name"":""party_parrot"",""users"":[""U016R0Q31V1"",""U016W0C1FNG"",""U017G0TNCFN"",""U016AMDF215"",""U016Q1J7Y83"",""U017E2A2KPS"",""U016C8XH6NR""],""count"":7},{""name"":""100"",""users"":[""U017E2A2KPS""],""count"":1},{""name"":""rainbow"",""users"":[""U017E2A2KPS"",""U016C8XH6NR""],""count"":2}]",20
1599410756.144100,U01692ECHKR,"Hello, excuse me for being so late to the party. I was out in the boonies (no internet) and then moving across town... I cannot believe Kernel is already over. It was sometimes tough for me to participate due to time zones but I tried to make it work the best it could. Like others, it meant that I missed some pretty interesting discussions but I was happy to listen to recordings later. It was 'tough' to work through Kernel with a hardware project, especially seeing the heavy ETH focus (in a good way)! It was fun nonetheless and got some feedback I still have to work through. As an upside, we recently applied for a grant to take the first steps into taking int into production. We aim to incorporate in Singapore due to logistic and strategic reasons, as our researched showed that Asia is the fastest growing hardware market. I talked and received feedback from many people, and for that you have my thanks! To all the others I did not get a chance to talk, perhaps we see each other in a next round. I will stick around in these Slack channels for as long as they continue to exist. I debated joining APOLLO but with some of the stuff coming up, it is too much to manage. I'd love to keep in touch or if anyone wants to reach out and join the fun. Interested in talking to people from all backgrounds. Also, we are open to investment opportunities. Cheers all! Finally, a special thanks to <@U016C909613> and <@U016C8XH6NR> for creating the programme.","Mon, 19 Jan 1970 12:16:50 GMT",,"U016C909613,U016C8XH6NR","[{""name"":""heart"",""users"":[""U0172CM3049"",""U017E2A2KPS"",""U01733WAA1F"",""U016Q1J7Y83"",""U016C8XH6NR"",""U0172CB3649""],""count"":6}]",6
1598700884.128400,U016M08G1M4,"Thankful to every single one of you. Happy to have found my soul family. Until now I felt out of place in life.

Thank you <@U016C909613>  for inviting me to kernel on that ocean presentation day. And thank you for constantly uplifting me exactly when I need it the most. Thank you for writing to Alex

Thank you <@U016C8XH6NR> for your convos with me and for your support and trust

Thank you <@U016Q117G67> for being the most special and unique soul I’ve ever met :heart:

Thank you <@U017HFE51EU>  for being so extraordinary and finding the time to meet. I want more ;)))

Thank you <@U0172MSC92A> for the sick Kernel swag design

Thank you <@U0173GGMBJQ>  for GitCoin. I’d be stuck in miserable finance world without you

Thank you <@U016Q1J7Y83> for helping me with the designs organisation

Thank you <@U016PF28WVB> for your help with my bonding curve. Please DM me I’ll send you some NAZ :)

Thank you Wildcards team, and especially Jason for the tip about front running resistance

Thank you <@U016RCGRND8>  for your sweet Figma design

Thank you <@U016BTBS3MM> for great convos and being the first one to clap to my primitives ;)

Thank you EVERYONE. I deeply love and appreciate you all. If at any point I can be of any service to you. Summon me ;) twitter: @AlgorithmicBot. Telegram: nazariyv

And most importantly, thank you The V (Vitalik Buterin, right?), without you, none of us would be here. You should be a role model for everyone. If I can be of any service to you at all, I’d be overwhelmed with joy to help. Lots of love everyone. You will all succeed and make this world much much better!","Mon, 19 Jan 1970 12:05:00 GMT",1598700884.128400,"U016C909613,U016C8XH6NR,U016Q117G67,U017HFE51EU,U0172MSC92A,U0173GGMBJQ,U016Q1J7Y83,U016PF28WVB,U016RCGRND8,U016BTBS3MM","[{""name"":""heart"",""users"":[""U017HFE51EU"",""U016Q1J7Y83"",""U017E2A2KPS"",""U016C8XH6NR"",""U016W0C1FNG"",""U017DN0DZ08"",""U016C909613"",""U019SGAQGE4"",""U016HBVGSP8"",""U017G0TNCFN"",""U016SKSS8AW"",""U016PUP7D5Z"",""U0169JV8C95"",""U0172CM3049"",""U0172MSC92A"",""U016BTBS3MM"",""U0172G1A28H"",""U016PF28WVB"",""U016T0QSCMT"",""U019Y1DMWNP""],""count"":20},{""name"":""hugging_face"",""users"":[""U016Q1J7Y83"",""U017E2A2KPS"",""U016C8XH6NR"",""U016W0C1FNG"",""U017DN0DZ08"",""U016C909613"",""U016HBVGSP8"",""U017G0TNCFN"",""U016SKSS8AW"",""U016PUP7D5Z"",""U0172CM3049"",""U016PF28WVB"",""U016T0QSCMT"",""U017HFE51EU""],""count"":14}]",34
1598783890.132100,U0172MSC92A,Cheers!  :beers: Thanks for the gratitude! &lt;3,"Mon, 19 Jan 1970 12:06:23 GMT",1598700884.128400,,"[{""name"":""heart"",""users"":[""U016M08G1M4""],""count"":1}]",1
1598653764.104600,U017HFE51EU,"Grateful for:
Vivek and Sachin unconditional helpfulness towards me
Fellows I interacted with on this fellowship, Naz, Mark Beylin
Ethereans at large that are supportive in positive-sum games 🥰
","Mon, 19 Jan 1970 12:04:13 GMT",,,"[{""name"":""heart"",""users"":[""U017E2A2KPS"",""U016C8XH6NR"",""U017DN0DZ08"",""U016M08G1M4"",""U016HBVGSP8"",""U0172CTQ3A5""],""count"":6},{""name"":""100"",""users"":[""U017E2A2KPS"",""U017DN0DZ08"",""U016M08G1M4"",""U016HBVGSP8""],""count"":4},{""name"":""seedling"",""users"":[""U016C8XH6NR"",""U017DN0DZ08"",""U016M08G1M4""],""count"":3}]",13
1598640764.101100,U016QSTSQQM,"I'm extremely grateful for having the opportunity to have interacted with the most passionate, talented, generous and philanthropic community I've ever had the fortune of coming into contact with. The range of concepts, fierce intellect and enormous compassion that I've been exposed to will be unforgettable.

When I started, I was deeply apathetic about the future of the human experience. But I leave KERNEL with a deep sense of optimism, tremendous excitement, and hope for humanity. You are all inspiring people, and I'm indebted to everyone who held my hand into the Web3 rabbit hole.

The world now appears as beautiful to me as it once had when I was a little kid. And I really mean that. Maybe that's Beginner's Mind.

<@U016C909613> <@U016C8XH6NR> <@U016Q117G67> <@U016PNPMFSN> <@U016Z7XQC7N> <@U016TPYEEBC> THANK YOU!!!

To everyone I never got to meet... I just know in my heart that you're awesome people too. Thank you so much for being the ornate, intricate cogs of decentralization that you are.","Mon, 19 Jan 1970 12:04:00 GMT",,"U016C909613,U016C8XH6NR,U016Q117G67,U016PNPMFSN,U016Z7XQC7N,U016TPYEEBC","[{""name"":""heart"",""users"":[""U017DN0DZ08"",""U016Z7XQC7N"",""U016C909613"",""U016PNPMFSN"",""U017E2A2KPS"",""U016C8XH6NR"",""U016HBVGSP8""],""count"":7},{""name"":""seedling"",""users"":[""U017DN0DZ08"",""U016C909613"",""U016PNPMFSN"",""U017E2A2KPS"",""U016C8XH6NR"",""U016HBVGSP8""],""count"":6},{""name"":""raised_hands"",""users"":[""U016SKSS8AW""],""count"":1}]",14
1598634228.100100,U016PNPMFSN,"I've done a handful of these types of programs -- but KERNEL has definitely felt the best. The community, starting at the top, has been so welcoming/positive/insightful/AWESOME. Thank you to all of the community members, and especially thank you to the team at the top, who's personalities, content, and personal efforts helped create such a positive culture the last several weeks during KERNEL :slightly_smiling_face: :heart: :seedling: :pray:  I for one know that I will continue spreading the positive culture in everything I work on (Uni) :discoparrot:","Mon, 19 Jan 1970 12:03:54 GMT",,,"[{""name"":""heart"",""users"":[""U0172CM3049"",""U016QSTSQQM"",""U016C8XH6NR"",""U01691XLMD5"",""U017E2A2KPS"",""U017DN0DZ08"",""U016Z7XQC7N""],""count"":7}]",7
1598633779.096000,U016NDJ9QLV,"Thanks everyone for such an amazing community! And a gitcoin team also! Wasn’t able to participate a lot, since we had a big launch in the meantime. In the end it’s all about people I’m glad that I met so many great teams and individuals ","Mon, 19 Jan 1970 12:03:53 GMT",,,"[{""name"":""seedling"",""users"":[""U016PP38YLA"",""U016C8XH6NR"",""U017E2A2KPS"",""U017DN0DZ08""],""count"":4}]",4
1598632584.092400,U017HNKDHNV,A gratitude channel I love it! Thank you gitcoin team for bringing me here! And thanks to all the projects for looking to advance the blockchain community!,"Mon, 19 Jan 1970 12:03:52 GMT",,,"[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U01691XLMD5"",""U0169MFLKQF"",""U017E2A2KPS""],""count"":4},{""name"":""seedling"",""users"":[""U016C8XH6NR"",""U01691XLMD5"",""U017E2A2KPS""],""count"":3}]",7
