id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1599664397.100000,U016C909613,"hey <!channel> :wave: i want to stay in-the-know on how you all are doing post KERNEL!

• if you are raising funds / applying for grants, let me know if intros would be helpful
• if you have asks of KERNEL, don’t hesitate via <#C016LJNNW6P|asks> or <#C0175KTG8TU|kernel-project-updates> or <#C016DKV7MTQ|amplify> 
• stay close to the KERNEL family. we hope we will age together well :wine_glass::slightly_smiling_face: 
be on the lookout for some invites to Gitcoin Grants Round 7 events, we’d love to have you. we’ll probably use the KERNEL Airmeet and invite 500+ folks from the Ethereum ecosystem!

most importantly… *KERNEL Block Two is coming.* we’ll be looking to each of you to help us make it an amazing group to invite into the family. the KERNEL story grows :seedling:","Mon, 19 Jan 1970 12:21:04 GMT",1599664397.100000,,"[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U01691XLMD5"",""U016PUP7D5Z"",""U016Q1TQAKV"",""U018W6481FC"",""U0172BR9Q8H"",""U017G0TNCFN"",""U0176G2AZFF"",""U0169JV8C95"",""U017E2A2KPS"",""U017EF8VBS4"",""U017DN0DZ08""],""count"":12},{""name"":""seedling"",""users"":[""U01691XLMD5"",""U016Q1TQAKV"",""U016C8XH6NR"",""U017G0TNCFN"",""U0169JV8C95"",""U017E2A2KPS"",""U017EF8VBS4"",""U017DN0DZ08""],""count"":8},{""name"":""+1"",""users"":[""U01691XLMD5"",""U016Q1TQAKV"",""U016C8XH6NR"",""U017G0TNCFN"",""U0169JV8C95"",""U017E2A2KPS"",""U017DN0DZ08""],""count"":7},{""name"":""wine_glass"",""users"":[""U016M08G1M4"",""U017E2A2KPS"",""U016PVCCZDG"",""U017DN0DZ08""],""count"":4}]",31
1599675075.103500,U017DN0DZ08,Thanks <@U016C909613> for your support and inspiration. *KERNEL Block Two* wowwww :exploding_head: :party_parrot: Always here to support our fam and help out with whatever you need :heart:,"Mon, 19 Jan 1970 12:21:15 GMT",1599664397.100000,U016C909613,,0
1598538093.053900,U016C8XH6NR,"<!channel>,

Last Fireside chat of the KERNEL:seedling: Genesis Block, starting in 10 minutes. *The Gift + Vitalik’s View* 
Livestream link: <https://youtu.be/6u1xZqOe5pE>

See ya all. :wave:","Mon, 19 Jan 1970 12:02:18 GMT",1598538093.053900,,"[{""name"":""fire"",""users"":[""U017DN0DZ08"",""U016BTBS3MM"",""U017G0TNCFN"",""U0177970Q20"",""U016PUP7D5Z"",""U01691XLMD5"",""U016Q1J7Y83"",""U017HFE51EU"",""U017HNKDHNV"",""U016Q3TCF45"",""U017E452YTA"",""U016H5ETT6J"",""U0169MFLKQF"",""U0172G1A28H"",""U017JSCQA6L"",""U016QSTSQQM"",""U0172CTQ3A5""],""count"":17},{""name"":""raised_hands"",""users"":[""U017G0TNCFN"",""U0177970Q20"",""U01691XLMD5"",""U017HFE51EU"",""U016Q3TCF45"",""U017JSCQA6L"",""U016QSTSQQM""],""count"":7},{""name"":""sob"",""users"":[""U016M08G1M4"",""U017G0TNCFN"",""U017HFE51EU"",""U016W05TXUL"",""U017JSCQA6L"",""U016SKSS8AW"",""U016QSTSQQM""],""count"":7},{""name"":""rocket"",""users"":[""U01691XLMD5"",""U016Q3TCF45"",""U017JSCQA6L"",""U017G0TNCFN"",""U016QSTSQQM""],""count"":5},{""name"":""seedling"",""users"":[""U01691XLMD5"",""U017HFE51EU"",""U017JSCQA6L"",""U017G0TNCFN"",""U016QSTSQQM""],""count"":5},{""name"":""heart"",""users"":[""U016Z7XQC7N"",""U017JSCQA6L"",""U017G0TNCFN"",""U0169JE8HV5"",""U016QSTSQQM""],""count"":5}]",46
1598538726.055900,U016Q01RH5H,is it working?,"Mon, 19 Jan 1970 12:02:18 GMT",1598538093.053900,,,0
1598538750.056100,U016C8XH6NR,We will start soon <@U016Q01RH5H>,"Mon, 19 Jan 1970 12:02:18 GMT",1598538093.053900,U016Q01RH5H,,0
1598538764.056300,U016Q01RH5H,"okay, just making sure, thank you :slightly_smiling_face:","Mon, 19 Jan 1970 12:02:18 GMT",1598538093.053900,,"[{""name"":""raised_hands"",""users"":[""U016C8XH6NR""],""count"":1}]",1
1598448556.047600,U016C8XH6NR,"Hi <!here>,
Starting “Open Source Community Building” in 5 minutes. join us <https://www.airmeet.com/event/0d733160-bc9a-11ea-adb7-31ace487329c|here>.","Mon, 19 Jan 1970 12:00:48 GMT",,,"[{""name"":""seedling"",""users"":[""U01691XLMD5"",""U017DN0DZ08"",""U017G0TNCFN""],""count"":3}]",3
1598389133.039900,U016C909613,"Hi all, please :heavy_plus_sign: if you’d like a table for your team in tomorrow’s class on *Open Source Community Building.* 

_*MY THOUGHTS BELOW: From One KERNEL To Many*_ 

As we leave KERNEL, our hope is that one KERNEL leads to many. Practically, this means three steps for new projects. If you’ve done these, there’s still one big step I recommend below.

1. *Create your own Slack / Discord for your community.* Don’t do Telegram -- it’s never worth it to put all your conversations in one channel! 
2. <https://gitcoin.co/grants/new|Create a Gitcoin Grant>. Round 7 is upcoming with ~$100K in matching funds, but more importantly - great signal about who *really* cares about your project. If you receive $1 or $1,000 from someone -- invite them to your Slack, say hello. Involve them in the open source community around your project.
3. Start a Twitter presence. 
You can leverage your community (and KERNEL) to help grow each of these quickly.

To take it one step further --&gt; I think it’s entirely possible (and a high ROI investment) for each project here to host your own mini-KERNEL within a community of people hyper-interested in your projects or your ideas. Some simple ideas:

• A four week ‘book club’ for people interested in building in your domain, inviting the top 30 folks to join you. 
• A weekly community call hosted in an Airmeet or on Zoom. 
The key is to spend lots of time bringing in *great* people, and then focus on interactions *between* those people — not necessarily for you to be initiating all interactions.

This is accomplished by building Trust. Design your open source community for win-win scenarios, low miscommunication, and *repeat interactions*. This can be constructed. And it will help your projects grow, and I believe, if time permits, will be a true joy to foster.

Don’t forget to aim for diversity, and don’t forget that the quality of people matters much more than the quantity. I hope to see anyone who wants to discuss more tomorrow :slightly_smiling_face:","Mon, 19 Jan 1970 11:59:49 GMT",,,"[{""name"":""seedling"",""users"":[""U016X212QMA"",""U0172CB3649"",""U017E885WBA"",""U017E2A2KPS"",""U01733WAA1F"",""U0169JV8C95"",""U016C8XH6NR"",""U016Q1TQAKV"",""U017G0TNCFN"",""U016PP38YLA"",""U016C909613"",""U017GN6FHQA"",""U0172CTQ3A5"",""U0172G1A28H"",""U0169MFLKQF"",""U016HFP7P2A"",""U016QSTSQQM""],""count"":17},{""name"":""sparkles"",""users"":[""U016X212QMA"",""U0172CB3649"",""U017E2A2KPS"",""U01733WAA1F"",""U016C8XH6NR"",""U017G0TNCFN"",""U016C909613"",""U017GN6FHQA"",""U016HFP7P2A""],""count"":9},{""name"":""heart"",""users"":[""U0172CB3649"",""U017E2A2KPS"",""U01733WAA1F"",""U016C8XH6NR"",""U017G0TNCFN"",""U016C909613"",""U017GN6FHQA"",""U016HFP7P2A""],""count"":8},{""name"":""clap"",""users"":[""U0172CB3649"",""U017E885WBA"",""U017E2A2KPS"",""U01733WAA1F"",""U016C8XH6NR"",""U017G0TNCFN"",""U016C909613"",""U016HFP7P2A""],""count"":8},{""name"":""bee"",""users"":[""U0172CB3649"",""U017E2A2KPS"",""U01733WAA1F"",""U016C8XH6NR"",""U017G0TNCFN"",""U016C909613"",""U016HFP7P2A""],""count"":7},{""name"":""antsreview"",""users"":[""U0172CB3649"",""U017E2A2KPS"",""U01733WAA1F"",""U016C8XH6NR"",""U017G0TNCFN"",""U016C909613"",""U016HFP7P2A""],""count"":7},{""name"":""heavy_plus_sign"",""users"":[""U017E2A2KPS"",""U01733WAA1F"",""U016C8XH6NR"",""U0172CB3649"",""U016Q1J7Y83"",""U016C909613"",""U016HFP7P2A""],""count"":7},{""name"":""party_parrot"",""users"":[""U016PP38YLA"",""U016C909613"",""U016HFP7P2A""],""count"":3}]",66
1598252575.018600,U016Q117G67,"Good morning one and all.

Without further ado, here is the final module for this Genesis Block: <https://kernel.community/module-7/>

Thank you all so much for your kind attention over these last 8 weeks. It has been a fantastic experience and I am profoundly grateful to everyone here for together making it more memorable and meaningful than I could have hoped for.

Go lightly, and in peace. To quote our very first module: ""I’m always inclined to believe that the best way of knowing is to love a great deal. Love that friend, that person, that thing, whatever you like, you’ll be on the right path to knowing more thoroughly.""","Mon, 19 Jan 1970 11:57:32 GMT",1598252575.018600,,"[{""name"":""heart"",""users"":[""U016H5ETT6J"",""U01733WAA1F"",""U017E2A2KPS"",""U016Q1TQAKV"",""U016BTBS3MM"",""U016C8XH6NR"",""U016HTJ5Q4W"",""U017DN0DZ08"",""U016M08G1M4"",""U017GN6FHQA"",""U0182ST8XGB"",""U016C909613"",""U0169JV8C95"",""U017GEXRXB2"",""U0169FVV2LF"",""U016H35D04W"",""U016QSTSQQM"",""U01691XLMD5"",""U016PNPMFSN"",""U01692CEFQF"",""U018SQK276U"",""U016SKSS8AW"",""U0172CTQ3A5"",""U016PEM9U5B"",""U0172CB3649"",""U01758RQ941"",""U016HFP7P2A""],""count"":27},{""name"":""fire"",""users"":[""U017E2A2KPS"",""U016C8XH6NR"",""U017DN0DZ08"",""U016M08G1M4"",""U0182ST8XGB"",""U016C909613"",""U0169JV8C95"",""U017GEXRXB2"",""U016QSTSQQM"",""U01691XLMD5"",""U016SKSS8AW"",""U017EF8VBS4"",""U0172CB3649"",""U01758RQ941"",""U016HFP7P2A""],""count"":15},{""name"":""seedling"",""users"":[""U017E2A2KPS"",""U016C8XH6NR"",""U017DN0DZ08"",""U016M08G1M4"",""U016C909613"",""U016QSTSQQM"",""U01691XLMD5"",""U016SKSS8AW"",""U0172CB3649"",""U01758RQ941"",""U016HFP7P2A""],""count"":11},{""name"":""100"",""users"":[""U017E2A2KPS"",""U016C8XH6NR"",""U017DN0DZ08"",""U016M08G1M4"",""U016C909613"",""U016QSTSQQM"",""U01691XLMD5"",""U016SKSS8AW"",""U0172CB3649"",""U01758RQ941"",""U016HFP7P2A""],""count"":11},{""name"":""gift_heart"",""users"":[""U016Q825Y3U"",""U017DN0DZ08"",""U016M08G1M4"",""U016C909613"",""U016QSTSQQM"",""U01691XLMD5"",""U016SKSS8AW"",""U017EF8VBS4"",""U0172CB3649""],""count"":9},{""name"":""bulb"",""users"":[""U016QSTSQQM"",""U01691XLMD5"",""U016SKSS8AW"",""U017EF8VBS4"",""U0172CB3649"",""U01758RQ941"",""U016HFP7P2A""],""count"":7},{""name"":""antsreview"",""users"":[""U0172CB3649""],""count"":1}]",81
1598253865.019300,U017E2A2KPS,:pray::raised_hands::clap:,"Mon, 19 Jan 1970 11:57:33 GMT",1598252575.018600,,,0
