id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1599672830.030100,U01AB8MNA3T,Glad to meet you all - and really cool to see <@U016C909613> and the team putting together an amazing program! I'm with the venture investment team at Consensys and bidding goodbye to summer here in Berlin. Looking forward to interacting more!,"Mon, 19 Jan 1970 12:21:12 GMT",,U016C909613,"[{""name"":""wave"",""users"":[""U016PNPMFSN"",""U0172CM3049"",""U017DN0DZ08"",""U016C8XH6NR""],""count"":4}]",4
1599144789.022200,U019LNLNUEB,"Nice to meet you everyone, and thanks <@U016C909613> for the invite.
It's Alex here, from Italy, I'm a serial entrepreneur, and the director of <https://mracrypto.com|MRA Crypto>.
My main focus is on *Distributed Governance* and *Collaborative Economics*, and in the last 4 years I've been helping developers and innovators to design and implement novel mechanisms of governance and tokenomics to support their distributed tech innovation.

I'm happy to start this new partnership with Gitcoin, and support this amazing, disruptive community.
Feel free to get in touch for any feedback and support in these areas :thumbsup:

Cheers,
Alex","Mon, 19 Jan 1970 12:12:24 GMT",1599144789.022200,U016C909613,"[{""name"":""raised_hands"",""users"":[""U01733WAA1F"",""U016C909613"",""U016NEJETQV"",""U016QSTSQQM"",""U016HFP7P2A"",""U0172CM3049"",""U0172G1A28H""],""count"":7},{""name"":""seedling"",""users"":[""U016C8XH6NR"",""U016HFP7P2A"",""U0172CM3049""],""count"":3},{""name"":""wave"",""users"":[""U016C8XH6NR"",""U016QSTSQQM"",""U016HFP7P2A"",""U0172CM3049""],""count"":4},{""name"":""rocket"",""users"":[""U016QSTSQQM"",""U016HFP7P2A"",""U0172CM3049"",""U0169FVV2LF""],""count"":4}]",18
1599182653.024000,U016HFP7P2A,Welcome Alex. Glad to have you on board! :party_parrot:,"Mon, 19 Jan 1970 12:13:02 GMT",1599144789.022200,,"[{""name"":""raised_hands"",""users"":[""U019LNLNUEB""],""count"":1}]",1
1599231026.025200,U0169FVV2LF,Glad to see you here <@U019LNLNUEB> ,"Mon, 19 Jan 1970 12:13:51 GMT",1599144789.022200,U019LNLNUEB,,0
1599231103.025400,U019LNLNUEB,"Hi Val! Are you the Val from Festival Labs by any chance? :slightly_smiling_face:
<@U0169FVV2LF>","Mon, 19 Jan 1970 12:13:51 GMT",1599144789.022200,U0169FVV2LF,"[{""name"":""party_parrot"",""users"":[""U0169FVV2LF""],""count"":1}]",1
1599233079.025900,U0169FVV2LF,That’s me!,"Mon, 19 Jan 1970 12:13:53 GMT",1599144789.022200,,,0
1599236483.026100,U019LNLNUEB,"Awesome, what a small world! Happy to see you here! :smile:
<@U0169FVV2LF>","Mon, 19 Jan 1970 12:13:56 GMT",1599144789.022200,U0169FVV2LF,,0
1599236612.026300,U019LNLNUEB,What have you been working on during Kernel?,"Mon, 19 Jan 1970 12:13:56 GMT",1599144789.022200,,,0
1599270592.026600,U0169FVV2LF,GODMODE!,"Mon, 19 Jan 1970 12:14:30 GMT",1599144789.022200,,,0
1599270737.026900,U0169FVV2LF,<https://godmode.substack.com/people/13536496-godmode|https://godmode.substack.com/people/13536496-godmode>,"Mon, 19 Jan 1970 12:14:30 GMT",1599144789.022200,,,0
1599322041.027200,U019LNLNUEB,"Thanks for sharing, Val.
Quite a useful tool indeed, if I may give a small suggestion: I see a good use-case for it in verifying governance and tokenomics assumptions. You may have a look at cadCAD as well, I see some potential synergy with them :thumbsup:
<@U0169FVV2LF>","Mon, 19 Jan 1970 12:15:22 GMT",1599144789.022200,U0169FVV2LF,"[{""name"":""raised_hands"",""users"":[""U0169FVV2LF""],""count"":1}]",1
1599322101.027400,U019LNLNUEB,"Here’s a link, in case you want to give it a try --&gt; <https://cadcad.org/>","Mon, 19 Jan 1970 12:15:22 GMT",1599144789.022200,,,0
1599335419.028300,U0169FVV2LF,Someone else mentioned cadcad <@U017DK86Y6L> yeah I think it will be useful for us to look into,"Mon, 19 Jan 1970 12:15:35 GMT",1599144789.022200,U017DK86Y6L,"[{""name"":""+1"",""users"":[""U017DK86Y6L""],""count"":1}]",1
