id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1598916677.001200,U016Z7XQC7N,Hi - is it too late to schedule a Junto? It would be great to get a jam on Daos and defi within our space. Is anyone interested in this topic?,"Mon, 19 Jan 1970 12:08:36 GMT",1598916677.001200,,,0
1598966837.001300,U016C909613,"not too late!

the KERNEL airmeet is still open, and juntos are a great way to keep conversations going after the cohort ends — thanks for asking Amy :slightly_smiling_face:","Mon, 19 Jan 1970 12:09:26 GMT",1598916677.001200,,,0
1597689212.037300,U016UNBDY5R,For those interested in the GPT3/AI junto-&gt; <https://zoom.us/j/9851547883?pwd=K21RMklDcGsycUVTY1YvK21oNTM0dz09>,"Mon, 19 Jan 1970 11:48:09 GMT",,,,0
1597689154.036500,U016UNBDY5R,"OK, our table at airmeet (32) is limited to 2 seats and marked as DON'T USE - i take it updateding the event through slackbot never really worked :confused:","Mon, 19 Jan 1970 11:48:09 GMT",1597658552.034000,,,0
1597676538.034700,U016Q1J7Y83,Everyone for Community and Engagement - we're at table 20 :),"Mon, 19 Jan 1970 11:47:56 GMT",1597676538.034700,,"[{""name"":""party_parrot"",""users"":[""U016C8XH6NR"",""U01691XLMD5"",""U017EF8VBS4"",""U017E2A2KPS"",""U0172CB3649"",""U016UNBDY5R""],""count"":6}]",6
1597688822.035400,U016UNBDY5R,MIssed it! Noooo,"Mon, 19 Jan 1970 11:48:08 GMT",1597676538.034700,,"[{""name"":""cry"",""users"":[""U016Q1J7Y83""],""count"":1}]",1
1597504073.031500,U016C8XH6NR,"Juntos this week,

To join, click on the “title” of the Junto to find the pre-reads and add an event to your Calendar. In addition, please drop an emoji of the number that corresponds with a Junto you’re interested in joining so we can gauge roughly how many people will attend. 

1. <http://evt.to/immiuuuw|GPT3>
Day &amp; Time: Monday, 3:00 PM - 4:00 PM ET
Max Seats: 8

2. <http://evt.to/imedsohw|Growing Community and Engagement with Simona Pop>
Day &amp; Time: Monday, 11:00 AM - 11:45 AM ET
Max Seats: 8

3. <http://evt.to/imemiagw|Unveiling the IPFS magic: Talk on the IPFS communication and storage trends>
Day &amp; Time: Thursday, 11:30 AM - 12:30 PM ET
Max Seats: 20

4. <http://evt.to/imemiasw|Weekly Gaming Guild Junto>
Day &amp; Time: Friday, 09:00 AM - 10:00 AM ET
Max Seats: 8

Again, please feel free to shoot me a DM if you need help scheduling a junto and if you’d like to schedule one for this week please do so as soon as possible.

Best,
Sachin","Mon, 19 Jan 1970 11:45:04 GMT",,,"[{""name"":""one"",""users"":[""U016C8XH6NR"",""U0172CM3049"",""U0172G1A28H"",""U016Z7XQC7N""],""count"":4},{""name"":""two"",""users"":[""U016C8XH6NR"",""U017E885WBA"",""U0172CM3049"",""U0182ST8XGB"",""U0172CB3649"",""U0172G1A28H""],""count"":6},{""name"":""three"",""users"":[""U016C8XH6NR"",""U017E885WBA"",""U0172CM3049"",""U0169JV8C95"",""U0172G1A28H""],""count"":5},{""name"":""four"",""users"":[""U016C8XH6NR""],""count"":1}]",16
1597168958.025400,U016C8XH6NR,"yess, will do Amy. :slightly_smiling_face:","Mon, 19 Jan 1970 11:39:28 GMT",,,"[{""name"":""rainbow"",""users"":[""U016Z7XQC7N"",""U017GN6FHQA""],""count"":2}]",2
1597168755.025100,U016Z7XQC7N,"<@U016C8XH6NR> - we have a team meeting for our company now and this data one is an important one for us.,.will you record?","Mon, 19 Jan 1970 11:39:28 GMT",,U016C8XH6NR,,0
1597168721.024500,U016C8XH6NR,meeting link: <https://consensys.zoom.us/j/896561460>,"Mon, 19 Jan 1970 11:39:28 GMT",,,,0
1597168708.024200,U016G7SR31V,<@U016G7SR31V> has joined the channel,"Mon, 19 Jan 1970 11:39:28 GMT",,,,0
1597168705.024000,U016Z7XQC7N,<@U016G7SR31V>,"Mon, 19 Jan 1970 11:39:28 GMT",,U016G7SR31V,,0
1597168559.023300,U016C8XH6NR,"<!here> kicking off the junto of the night

<http://evt.to/imemimow|Data in Blockchain>
Day &amp; Time: Tuesday, 2:00 PM - 3:00 PM ET
Max Seats: 20","Mon, 19 Jan 1970 11:39:28 GMT",1597168559.023300,,"[{""name"":""+1"",""users"":[""U017DKW89DW""],""count"":1}]",1
1597169317.025500,U016C8XH6NR,<@U0172G1A28H> <@U017GN6FHQA> <@U017ECUHDGQ> <@U016V1ACHKP>,"Mon, 19 Jan 1970 11:39:29 GMT",1597168559.023300,"U0172G1A28H,U017GN6FHQA,U017ECUHDGQ,U016V1ACHKP",,0
