id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1598590073.006300,U016PNPMFSN,<https://twitter.com/carnage4life/status/1299051186193014784?s=21|https://twitter.com/carnage4life/status/1299051186193014784?s=21>,"Mon, 19 Jan 1970 12:03:10 GMT",,,"[{""name"":""hearts"",""users"":[""U016C8XH6NR"",""U017G0TNCFN"",""U017DN0DZ08"",""U016BTBS3MM"",""U016H5ETT6J"",""U016NHHCE3F""],""count"":6},{""name"":""stuck_out_tongue"",""users"":[""U016C8XH6NR"",""U017G0TNCFN"",""U017DN0DZ08"",""U016W05TXUL"",""U016H5ETT6J""],""count"":5},{""name"":""joy"",""users"":[""U016M08G1M4"",""U0172G1A28H"",""U016H5ETT6J"",""U01AB8MNA3T""],""count"":4}]",15
1598046278.003300,U017EF8VBS4,The incumbent must fight for their title..,"Mon, 19 Jan 1970 11:54:06 GMT",1598046278.003300,,"[{""name"":""smile"",""users"":[""U01733WAA1F"",""U016HBVGSP8"",""U016BTBS3MM"",""U016PUP7D5Z"",""U0169JV8C95"",""U01691XLMD5""],""count"":6},{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016A43FT0F"",""U016C8XH6NR"",""U016X212QMA"",""U016HBVGSP8"",""U016QSTSQQM"",""U016PUP7D5Z"",""U016PNPMFSN"",""U0169JV8C95"",""U01691XLMD5"",""U016Q1J7Y83""],""count"":10}]",16
1598096509.004200,U016HBVGSP8,That laptop tho... Haha,"Mon, 19 Jan 1970 11:54:56 GMT",1598046278.003300,,"[{""name"":""smirk"",""users"":[""U017EF8VBS4""],""count"":1}]",1
1597870937.107800,U017EF8VBS4,when KERNEL has a new meaning to you,"Mon, 19 Jan 1970 11:51:10 GMT",1597870937.107800,,"[{""name"":""relaxed"",""users"":[""U016QSTSQQM"",""U016C909613"",""U016QF0J6G3"",""U016C8XH6NR"",""U0172CB3649"",""U017ECUHDGQ"",""U0172G1A28H"",""U016HPVFV54""],""count"":8},{""name"":""heart"",""users"":[""U016C8XH6NR"",""U016A43FT0F"",""U0172CB3649""],""count"":3}]",11
1598014647.002000,U016M08G1M4,:fire: kernel fam :rainbow:,"Mon, 19 Jan 1970 11:53:34 GMT",1597870937.107800,,,0
1597860461.107000,U016A43FT0F,,"Mon, 19 Jan 1970 11:51:00 GMT",,,"[{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016QSTSQQM"",""U016PNPMFSN"",""U017F30AFRP"",""U016HPVFV54""],""count"":4}]",4
1597824765.106500,U016M08G1M4,this channel is the definition of value,"Mon, 19 Jan 1970 11:50:24 GMT",,,"[{""name"":""joy"",""users"":[""U016QSTSQQM"",""U016Z7XQC7N""],""count"":2}]",2
1597606412.104700,U017EF8VBS4,<https://zkga.me/game1> embedded meme detected,"Mon, 19 Jan 1970 11:46:46 GMT",,,"[{""name"":""joy"",""users"":[""U0172CM3049"",""U016A43FT0F"",""U016X212QMA""],""count"":3}]",3
1597579583.103700,U016C8XH6NR,When ChampionsLeague fever gets her as well.,"Mon, 19 Jan 1970 11:46:19 GMT",1597579583.103700,,"[{""name"":""bouncingparrot"",""users"":[""U017EF8VBS4""],""count"":1},{""name"":""rolling_on_the_floor_laughing"",""users"":[""U017EF8VBS4""],""count"":1}]",2
1597607350.105200,U017EF8VBS4,gives new meaning to the sentence I hear often “so you guys are friendly with cows right?” lol,"Mon, 19 Jan 1970 11:46:47 GMT",1597579583.103700,,"[{""name"":""sweat_smile"",""users"":[""U016C8XH6NR""],""count"":1},{""name"":""heart"",""users"":[""U016C8XH6NR""],""count"":1}]",2
1597403251.100400,U017EF8VBS4,,"Mon, 19 Jan 1970 11:43:23 GMT",,,"[{""name"":""joy"",""users"":[""U016Q117G67"",""U016C909613"",""U016HBVGSP8"",""U017DN0DZ08""],""count"":4},{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016QFUSBRB""],""count"":1}]",5
1597364257.097200,U016PNPMFSN,,"Mon, 19 Jan 1970 11:42:44 GMT",,,"[{""name"":""heart"",""users"":[""U016Q0F66FM"",""U016Q1TSFSN"",""U016A43FT0F"",""U016PUP7D5Z"",""U016HBVGSP8"",""U017DN0DZ08"",""U016M08G1M4""],""count"":7},{""name"":""+1"",""users"":[""U017E2A2KPS"",""U016NEJETQV"",""U016A43FT0F"",""U017DN0DZ08""],""count"":4},{""name"":""rolling_on_the_floor_laughing"",""users"":[""U017G0TNCFN"",""U016C8XH6NR"",""U016A43FT0F"",""U016PUP7D5Z"",""U017DN0DZ08""],""count"":5}]",16
1597338349.096600,U017EF8VBS4,defi dev CHAD detected,"Mon, 19 Jan 1970 11:42:18 GMT",,,"[{""name"":""raised_hands"",""users"":[""U016C8XH6NR""],""count"":1},{""name"":""joy"",""users"":[""U017E2A2KPS""],""count"":1}]",2
1597335570.095800,U016C909613,"my friends, i literally almost starting crying :joy::joy::joy: <https://twitter.com/EthereumMemes/status/1292683390823608320?s=20>","Mon, 19 Jan 1970 11:42:15 GMT",1597335570.095800,,"[{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016C8XH6NR"",""U016PNPMFSN"",""U017E885WBA"",""U017G0TNCFN"",""U0172CB3649"",""U017E2A2KPS"",""U016NEJETQV"",""U016PP38YLA""],""count"":8}]",8
1597394878.099400,U017EF8VBS4,<https://twitter.com/VitalikButerin/status/1294186507465420802>,"Mon, 19 Jan 1970 11:43:14 GMT",1597335570.095800,,,0
1597394905.099700,U017EF8VBS4,<https://twitter.com/VitalikButerin/status/1294186505745731584>,"Mon, 19 Jan 1970 11:43:14 GMT",1597335570.095800,,,0
1597255120.092600,U016BTBS3MM,"And in a testament to their good nature, I even still have my job.","Mon, 19 Jan 1970 11:40:55 GMT",,,"[{""name"":""joy"",""users"":[""U0172CM3049"",""U0172CB3649"",""U017E2A2KPS"",""U016A43FT0F"",""U016C8XH6NR"",""U017EF8VBS4"",""U017G0TNCFN""],""count"":7}]",7
1597255100.092100,U016BTBS3MM,"My CEO posted a graph from Codefi called 'A DeFi Snapshot' with the requisite going way up on the right end, etc. I'm, shall we say, a bit outspoken about how I think it's going to go down in flames, and since for some reason they seem to appreciate my humor, I responded with: <https://imgflip.com/i/4b8ry6>","Mon, 19 Jan 1970 11:40:55 GMT",,,"[{""name"":""joy"",""users"":[""U0172CM3049"",""U0172CB3649"",""U017E2A2KPS"",""U016C8XH6NR"",""U017G0TNCFN"",""U017EF8VBS4"",""U016Q1J7Y83""],""count"":7},{""name"":""thumbsupparrot"",""users"":[""U017EF8VBS4""],""count"":1}]",8
1597254495.090000,U016SRX7V1R,Loved the security community,"Mon, 19 Jan 1970 11:40:54 GMT",,,"[{""name"":""heart"",""users"":[""U017EF8VBS4"",""U016HBVGSP8""],""count"":2}]",2
1597250669.088500,U017EF8VBS4,feeding the be(a)sts..,"Mon, 19 Jan 1970 11:40:50 GMT",,,"[{""name"":""stuck_out_tongue"",""users"":[""U016C8XH6NR"",""U0172CM3049"",""U017G0TNCFN"",""U016HBVGSP8""],""count"":4},{""name"":""sweet_potato"",""users"":[""U016C8XH6NR"",""U0172CM3049"",""U017G0TNCFN""],""count"":3},{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016SRX7V1R"",""U0172CM3049"",""U016A43FT0F"",""U017G0TNCFN"",""U016HBVGSP8""],""count"":5}]",12
1597141115.085700,U017EF8VBS4,"Quite possibly the most fleshed out “error message” I’ve managed to hit till date.
Python :snake: :heart:","Mon, 19 Jan 1970 11:39:01 GMT",1597141115.085700,,"[{""name"":""raised_hands"",""users"":[""U016A43FT0F"",""U016W05TXUL""],""count"":2}]",2
1597146077.086200,U016M08G1M4,type omega on Kardashev scale being writing this :space_invader:,"Mon, 19 Jan 1970 11:39:06 GMT",1597141115.085700,,"[{""name"":""sweat_smile"",""users"":[""U017EF8VBS4""],""count"":1}]",1
1597148298.086400,U017EF8VBS4,make everything about the implicit .. explicit.,"Mon, 19 Jan 1970 11:39:08 GMT",1597141115.085700,,,0
1597148315.086700,U017EF8VBS4,:alien:,"Mon, 19 Jan 1970 11:39:08 GMT",1597141115.085700,,,0
1597160357.087300,U016BTBS3MM,Wow.,"Mon, 19 Jan 1970 11:39:20 GMT",1597141115.085700,,,0
1597073745.082900,U016Q117G67,<https://kernel.community/module-5/the-peoples-narrative/#the-long-game>,"Mon, 19 Jan 1970 11:37:53 GMT",,,"[{""name"":""seedling"",""users"":[""U0172CB3649"",""U017E2A2KPS""],""count"":2}]",2
1597073508.082500,U0173GGMBJQ,starting a company or DAO in crypto be like,"Mon, 19 Jan 1970 11:37:53 GMT",,,"[{""name"":""joy"",""users"":[""U016A43FT0F"",""U017E2A2KPS"",""U016AMDF215"",""U017DN0DZ08"",""U0172G1A28H""],""count"":5},{""name"":""raised_hands"",""users"":[""U016A43FT0F"",""U017E2A2KPS"",""U017EF8VBS4"",""U016NEJETQV"",""U016UNBDY5R"",""U017DN0DZ08""],""count"":6}]",11
1596051652.076300,U016H5ETT6J,,"Mon, 19 Jan 1970 11:20:51 GMT",,,"[{""name"":""joy"",""users"":[""U01733WAA1F"",""U0172G1A28H"",""U016PUP7D5Z"",""U0172CM3049"",""U017DN0DZ08"",""U0169JV8C95"",""U016A43FT0F"",""U017EF8VBS4"",""U016WSQKPCL"",""U016C909613"",""U016BTBS3MM"",""U016NEJETQV"",""U016R8NEW93"",""U018SQK276U"",""U016QSTSQQM"",""U016X212QMA"",""U016W05TXUL""],""count"":17}]",17
1595837340.072900,U017EF8VBS4,re: GPT-3,"Mon, 19 Jan 1970 11:17:17 GMT",,,"[{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016Q1TSFSN"",""U016A43FT0F"",""U016Q117G67"",""U016AMDF215"",""U016PNPMFSN"",""U016Q0F66FM"",""U016C909613"",""U016Q1J7Y83"",""U016PUK3G9Z"",""U016HPVFV54"",""U0172CM3049"",""U016Q01RH5H"",""U016Z7XQC7N"",""U016H5ETT6J"",""U017G0TNCFN"",""U0172G1A28H"",""U0169JV8C95"",""U016UNBDY5R"",""U016QSTSQQM"",""U016WQPK6J0"",""U016W05TXUL""],""count"":21}]",21
1595696524.070600,U016M08G1M4,"`initializing a new repo from britain like ""git innit""`","Mon, 19 Jan 1970 11:14:56 GMT",,,"[{""name"":""smile"",""users"":[""U017EF8VBS4"",""U016A43FT0F"",""U016T0QSCMT"",""U016ZPHMHL4"",""U0172G1A28H"",""U016C909613"",""U017E2A2KPS"",""U016QSTSQQM""],""count"":8},{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016NEJETQV"",""U017E2A2KPS"",""U016WSQKPCL""],""count"":3},{""name"":""+1"",""users"":[""U017E2A2KPS""],""count"":1}]",12
1595671583.069200,U016A43FT0F,,"Mon, 19 Jan 1970 11:14:31 GMT",,,"[{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016Q117G67"",""U016Q0F66FM"",""U017GN6FHQA"",""U016C8XH6NR"",""U017G0TNCFN"",""U016HPVFV54"",""U016Q1J7Y83"",""U016YQPEDU4"",""U016HBVGSP8"",""U016W05TXUL""],""count"":10},{""name"":""joy"",""users"":[""U017ECUHDGQ"",""U016Q0F66FM"",""U017G0TNCFN""],""count"":3}]",13
1595443851.065800,U017EF8VBS4,,"Mon, 19 Jan 1970 11:10:43 GMT",1595443851.065800,,"[{""name"":""rolling_on_the_floor_laughing"",""users"":[""U017E885WBA"",""U016C909613"",""U016Q0F66FM"",""U0172CM3049"",""U016ZPHMHL4"",""U016R4537V1"",""U016SRX7V1R"",""U01733WAA1F"",""U016H35D04W"",""U016C8XH6NR"",""U016Q1J7Y83"",""U016NEJETQV"",""U016R8NEW93"",""U016AMDF215"",""U016SKSLW9G"",""U016W05TXUL"",""U017GN6FHQA"",""U017G0TNCFN"",""U016HR010LE"",""U016Q01RH5H"",""U016Z7XQC7N"",""U016UNBDY5R"",""U0172CB3649""],""count"":23},{""name"":""100"",""users"":[""U016ZPHMHL4"",""U0176G2AZFF"",""U016AMDF215"",""U0170F0PN8L"",""U017GN6FHQA"",""U017G0TNCFN"",""U0172CB3649""],""count"":7},{""name"":""raised_hands::skin-tone-5"",""users"":[""U016NHHCE3F""],""count"":1}]",31
1595511937.067900,U016M08G1M4,so true lol,"Mon, 19 Jan 1970 11:11:51 GMT",1595443851.065800,,,0
1595378258.065300,U016M08G1M4,"Communication is strong between these two

<https://www.instagram.com/p/CCw07ZEp9js/>","Mon, 19 Jan 1970 11:09:38 GMT",,,"[{""name"":""joy"",""users"":[""U016Z7XQC7N""],""count"":1}]",1
1595160777.063400,U017EF8VBS4,,"Mon, 19 Jan 1970 11:06:00 GMT",,,"[{""name"":""joy"",""users"":[""U016C8XH6NR"",""U017G0TNCFN"",""U016WJZNNS0""],""count"":3}]",3
1595107025.061300,U017EF8VBS4,.. and here thinking about the philosophical implications of decentralized finance.. ,"Mon, 19 Jan 1970 11:05:07 GMT",,,"[{""name"":""rolling_on_the_floor_laughing"",""users"":[""U016WQPK6J0"",""U0172CM3049"",""U01733WAA1F"",""U016C8XH6NR"",""U016A43FT0F"",""U016Z7XQC7N"",""U0172G1A28H"",""U016Q117G67"",""U017DN0DZ08""],""count"":9},{""name"":""pray"",""users"":[""U016M08G1M4""],""count"":1}]",10
1595106860.059400,U017EF8VBS4,.. providing exclusive tech support,"Mon, 19 Jan 1970 11:05:06 GMT",,,"[{""name"":""joy"",""users"":[""U0172CM3049"",""U01732696SV"",""U016C8XH6NR"",""U016Z7XQC7N"",""U017DN0DZ08"",""U016HBVGSP8""],""count"":6},{""name"":""pray"",""users"":[""U016M08G1M4""],""count"":1}]",7
1595106744.058500,U017EF8VBS4,fixing line 537.. here pair programming with Alex.,"Mon, 19 Jan 1970 11:05:06 GMT",1595106744.058500,,"[{""name"":""joy"",""users"":[""U0172CM3049"",""U016C8XH6NR"",""U016AMDF215""],""count"":3}]",3
1595696597.070900,U016M08G1M4,much better than rubber duck type,"Mon, 19 Jan 1970 11:14:56 GMT",1595106744.058500,,"[{""name"":""smile"",""users"":[""U017EF8VBS4""],""count"":1}]",1
1595106603.057300,U017EF8VBS4,Our “Chief Dognostics Officer”.. reviewing my code.,"Mon, 19 Jan 1970 11:05:06 GMT",,,"[{""name"":""joy"",""users"":[""U016M08G1M4""],""count"":1},{""name"":""sweat_smile"",""users"":[""U016M08G1M4""],""count"":1}]",2
1595022393.052800,U016PUP7D5Z,,"Mon, 19 Jan 1970 11:03:42 GMT",,,"[{""name"":""joy"",""users"":[""U016A43FT0F"",""U0176G2AZFF"",""U0172G1A28H"",""U016PNPMFSN"",""U01733WAA1F"",""U016C8XH6NR"",""U016W05TXUL"",""U017E2A2KPS"",""U017EF8VBS4"",""U0170F0PN8L""],""count"":10},{""name"":""male-farmer"",""users"":[""U016W05TXUL"",""U017EF8VBS4""],""count"":2}]",12
1595000199.051600,U016A43FT0F,,"Mon, 19 Jan 1970 11:03:20 GMT",1595000199.051600,,"[{""name"":""joy"",""users"":[""U016PUP7D5Z"",""U016C8XH6NR"",""U016AMDF215"",""U0172G1A28H"",""U01732696SV"",""U0172CB3649""],""count"":6},{""name"":""expressionless"",""users"":[""U016UNBDY5R""],""count"":1}]",7
1595013413.052500,U016M08G1M4,I don’t get this :exploding_head:,"Mon, 19 Jan 1970 11:03:33 GMT",1595000199.051600,,,0
1595098584.054500,U017EF8VBS4,okay i can help,"Mon, 19 Jan 1970 11:04:58 GMT",1595000199.051600,,,0
1595098774.055000,U017EF8VBS4,this is the general format,"Mon, 19 Jan 1970 11:04:58 GMT",1595000199.051600,,,0
1595098847.056600,U017EF8VBS4,(don’t mean to make any unnecessary racist jokes - just doing a bit lofi tech meme support),"Mon, 19 Jan 1970 11:04:58 GMT",1595000199.051600,,"[{""name"":""joy"",""users"":[""U016M08G1M4""],""count"":1},{""name"":""the_horns"",""users"":[""U016M08G1M4""],""count"":1},{""name"":""raised_hands"",""users"":[""U016M08G1M4""],""count"":1}]",3
1595102199.057100,U016M08G1M4,Now I geeeet it :wink: Thanks :slightly_smiling_face:,"Mon, 19 Jan 1970 11:05:02 GMT",1595000199.051600,,"[{""name"":""+1"",""users"":[""U017EF8VBS4"",""U016A43FT0F""],""count"":2},{""name"":""white_check_mark"",""users"":[""U017EF8VBS4""],""count"":1}]",3
1594925976.049800,U016UNBDY5R,What is the official KERNEL twitter handle or hashtag anyway?,"Mon, 19 Jan 1970 11:02:05 GMT",,,,0
1594797650.045100,U016WQPK6J0,"need to stop making meme, lols","Mon, 19 Jan 1970 10:59:57 GMT",,,,0
1594768328.043200,U016A43FT0F,,"Mon, 19 Jan 1970 10:59:28 GMT",,,"[{""name"":""smile"",""users"":[""U017E885WBA"",""U016R4537V1"",""U016H5ETT6J"",""U016W05TXUL"",""U0172CM3049"",""U017E2A2KPS"",""U016P59R9PG"",""U016C909613"",""U016PUP7D5Z"",""U016HBVGSP8"",""U017G0TNCFN""],""count"":11},{""name"":""dart"",""users"":[""U016C8XH6NR"",""U017E2A2KPS"",""U016C909613"",""U016Z7XQC7N""],""count"":4}]",15
1594717600.039500,U016WQPK6J0,,"Mon, 19 Jan 1970 10:58:37 GMT",1594717600.039500,,"[{""name"":""rolling_on_the_floor_laughing"",""users"":[""U01733WAA1F"",""U0172CM3049"",""U016W05TXUL"",""U016H5ETT6J"",""U016BTBS3MM"",""U01691XLMD5"",""U016PNPMFSN"",""U016PUP7D5Z"",""U016Q117G67"",""U016ZPHMHL4"",""U017EF8VBS4"",""U016YQPEDU4"",""U017SAMJGNL"",""U016A43FT0F"",""U016C8XH6NR"",""U017E2A2KPS"",""U016C909613"",""U016QSG6Y4A"",""U016AMDF215"",""U016Z7XQC7N"",""U016HBVGSP8"",""U016WJZNNS0"",""U0170F0PN8L""],""count"":23}]",23
1594719845.039900,U01733WAA1F,... i do love my node modules :flushed:,"Mon, 19 Jan 1970 10:58:39 GMT",1594717600.039500,,,0
1594736765.041400,U016ZPHMHL4,"… me too, all 238,454 of them :joy:","Mon, 19 Jan 1970 10:58:56 GMT",1594717600.039500,,,0
1594742221.042300,U017EF8VBS4,…and what about the mode nodules?,"Mon, 19 Jan 1970 10:59:02 GMT",1594717600.039500,,,0
1594802176.045500,U01733WAA1F,,"Mon, 19 Jan 1970 11:00:02 GMT",1594717600.039500,,"[{""name"":""joy"",""users"":[""U017EF8VBS4""],""count"":1}]",1
1594895315.047400,U016AMDF215,I love them all... until I run the build and see the size :face_with_raised_eyebrow:,"Mon, 19 Jan 1970 11:01:35 GMT",1594717600.039500,,,0
1594896446.049000,U017EF8VBS4,its dependeception... Dependencies within dependencies within.. you guessed it.. ,"Mon, 19 Jan 1970 11:01:36 GMT",1594717600.039500,,,0
1594703429.038400,U016Q0F66FM,,"Mon, 19 Jan 1970 10:58:23 GMT",,,"[{""name"":""joy"",""users"":[""U01733WAA1F"",""U016C8XH6NR"",""U0172CM3049"",""U016WQPK6J0"",""U017DK86Y6L"",""U016A43FT0F"",""U016C909613"",""U016AMDF215"",""U016Z7XQC7N"",""U017G0TNCFN"",""U0172MSC92A"",""U016NHHCE3F""],""count"":12}]",12
1594679992.037200,U016QF0FATC,"Yield Farmer, colorized, 1923.","Mon, 19 Jan 1970 10:57:59 GMT",,,"[{""name"":""fire"",""users"":[""U016C909613"",""U01691XLMD5"",""U016Q117G67""],""count"":3},{""name"":""male-farmer"",""users"":[""U016QSTSQQM"",""U0172CM3049"",""U016C8XH6NR"",""U01691XLMD5"",""U016PUP7D5Z"",""U017EF8VBS4""],""count"":6},{""name"":""joy"",""users"":[""U017EF8VBS4"",""U016A43FT0F"",""U016Z7XQC7N"",""U0170F0PN8L""],""count"":4}]",13
