id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1596236015.006700,U017J0ESE48,"back when social distancing wasn't a thing, and Lebanon wasn't drowning in poverty (and that wasn't so long ago!)
<https://www.youtube.com/watch?v=l1Yy1WCrgNk>","Mon, 19 Jan 1970 11:23:56 GMT",,,"[{""name"":""party_parrot"",""users"":[""U01692CEFQF""],""count"":1}]",1
1596080526.006200,U0172G1A28H,<https://www.youtube.com/watch?v=iM0sAydKTG4>,"Mon, 19 Jan 1970 11:21:20 GMT",,,,0
1595779630.004400,U017J0ESE48,"I'm a big Boris Brejcha and Cercle fan:
<https://www.youtube.com/watch?v=vqz8c4ZP3Wg>

Enjoy :smile:","Mon, 19 Jan 1970 11:16:19 GMT",1595779630.004400,,"[{""name"":""party_parrot"",""users"":[""U01692CEFQF""],""count"":1}]",1
1595781719.005100,U01692CEFQF,Boris is a great guy,"Mon, 19 Jan 1970 11:16:21 GMT",1595779630.004400,,,0
1595772090.004000,U016C909613,hey Joao maybe we can merge with <#C017EMLH1J5|muzik>.. excited to check out the mix ! ,"Mon, 19 Jan 1970 11:16:12 GMT",1595772090.004000,,,0
1595781697.004800,U01692CEFQF,Sure! I didn't know it existed :slightly_smiling_face:,"Mon, 19 Jan 1970 11:16:21 GMT",1595772090.004000,,,0
1595753085.003000,U01692CEFQF,"So my new mix upload is here guys! <https://www.mixcloud.com/Artphaser/phase-3-phuture-technocracy/>

Feel free to share it and if you know other people that like techno pass to them too","Mon, 19 Jan 1970 11:15:53 GMT",1595753085.003000,,"[{""name"":""heavy_check_mark"",""users"":[""U017E2A2KPS""],""count"":1}]",1
1595779703.004600,U017J0ESE48,@6min what's the track? I freaking love it,"Mon, 19 Jan 1970 11:16:19 GMT",1595753085.003000,,,0
1595781766.005300,U01692CEFQF,Checking that one later today!,"Mon, 19 Jan 1970 11:16:21 GMT",1595753085.003000,,,0
1595781778.005500,U01692CEFQF,Not at home rn,"Mon, 19 Jan 1970 11:16:21 GMT",1595753085.003000,,,0
1595794658.005700,U01692CEFQF,<@U017J0ESE48> Donato Dozzy &amp; Anna Caragnano - Parola (Rework) [SPAZIO017],"Mon, 19 Jan 1970 11:16:34 GMT",1595753085.003000,U017J0ESE48,,0
1595808175.005900,U017J0ESE48,lovely :smile: thx!,"Mon, 19 Jan 1970 11:16:48 GMT",1595753085.003000,,,0
1595753021.002200,U0172CM3049,<@U0172CM3049> has joined the channel,"Mon, 19 Jan 1970 11:15:53 GMT",,,,0
1595753012.002000,U016C909613,<@U016C909613> has joined the channel,"Mon, 19 Jan 1970 11:15:53 GMT",,,,0
1595753012.001800,U017E2A2KPS,<@U017E2A2KPS> has joined the channel,"Mon, 19 Jan 1970 11:15:53 GMT",,,,0
1595752983.001600,U016HFP7P2A,<@U016HFP7P2A> has joined the channel,"Mon, 19 Jan 1970 11:15:52 GMT",,,,0
1595752983.001400,U017GN6FHQA,<@U017GN6FHQA> has joined the channel,"Mon, 19 Jan 1970 11:15:52 GMT",,,,0
1595752965.001200,U016Q1J7Y83,<@U016Q1J7Y83> has joined the channel,"Mon, 19 Jan 1970 11:15:52 GMT",,,,0
1595752965.001000,U016PNPMFSN,<@U016PNPMFSN> has joined the channel,"Mon, 19 Jan 1970 11:15:52 GMT",,,,0
1595752951.000800,U0172G1A28H,<@U0172G1A28H> has joined the channel,"Mon, 19 Jan 1970 11:15:52 GMT",,,,0
1595752870.000500,U017J0ESE48,<@U017J0ESE48> has joined the channel,"Mon, 19 Jan 1970 11:15:52 GMT",,,,0
1595752860.000300,U01692CEFQF,"<@U01692CEFQF> set the channel purpose: Any kind of music sharing! It being electronic, classical, anything!","Mon, 19 Jan 1970 11:15:52 GMT",,,,0
1595752858.000200,U01692CEFQF,<@U01692CEFQF> has joined the channel,"Mon, 19 Jan 1970 11:15:52 GMT",,,,0
