id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1599651738.087000,U017E2A2KPS,"Hello Powerful-Visionary-Women:seedling:
Should you be interested in hearing from a few fellow powerful visionary women  in our community of Rare Ones we'd love to introduce you to them. #TeamRareBirds will be hosting our first community event in about two weeks. Linda, Marina and Juhee will be leading their own tables on the following topics (see flyer for details). Should you be interested in attending to meet them, we'd be happy to facilitate. Of course the chaps are equally as interesting and lovely:rolling_on_the_floor_laughing: . You could meet them too:-) :dart::tada: Otherwise, hope life post-KERNEL is being good to you. One love from me..:heart:","Mon, 19 Jan 1970 12:20:51 GMT",,,"[{""name"":""heart"",""users"":[""U017ECUHDGQ"",""U017DN0DZ08""],""count"":2}]",2
1599148430.081400,U016Z7XQC7N,"Hi Guys 

I can’t do either days I have meetings scheduled that are critical for my company 

Today is with your guy at Matic then IBM then Yale tomorrow is UN 

Can we do Monday or wed? Scheduling helps 

Doodle? 

:rainbow::pray::skin-tone-3:","Mon, 19 Jan 1970 12:12:28 GMT",,,,0
1599129449.079200,U0172CM3049,"Have been a bit tied up with my work these past few days :( friday post midday utc works for me though. We can plan something tomorrow
We can use the same icebreaker link :point_up_2:","Mon, 19 Jan 1970 12:12:09 GMT",,,,0
1599121202.077100,U0172CB3649,anything confirmed for today? 11AM EST-12AM EST works for me!,"Mon, 19 Jan 1970 12:12:01 GMT",,,,0
1598965920.075500,U017DKW89DW,"My project, DFAME is looking for people to participate in user interviews. Please consider picking a time: <https://calendly.com/dfame/dfame-onborading>

DFAME enables creators, brands, artists, or influencers to turn their community into an economy. Users join in by owning the community tokens which grants them rights to media content as well as the ability to collaborate within the community. The creator's community becomes its own network and tokens represent new value creation distributed amongst all members.","Mon, 19 Jan 1970 12:09:25 GMT",1598965920.075500,,"[{""name"":""fire"",""users"":[""U017DN0DZ08""],""count"":1}]",1
1598975657.075900,U016NHHCE3F,"<@U017DKW89DW> are you looking for people outside of Kernel who fit the profile (creators, brands, artists, or influencers) you mentioned?","Mon, 19 Jan 1970 12:09:35 GMT",1598965920.075500,U017DKW89DW,,0
1599000676.076300,U017DKW89DW,"Hello <@U016NHHCE3F> - we are looking for people who consume content and are aware of web3 (so you would be totally qualified) AND creators, brands, artists, and influencers outside of KERNEL as well. We would love it if you could sign up to provide feedback or connect us with any influencers!","Mon, 19 Jan 1970 12:10:00 GMT",1598965920.075500,U016NHHCE3F,,0
1599000683.076500,U017DKW89DW,Thank you so much!,"Mon, 19 Jan 1970 12:10:00 GMT",1598965920.075500,,,0
1598810403.074100,U0172CB3649,ah okay! on my calendar it was marked on both days,"Mon, 19 Jan 1970 12:06:50 GMT",,,,0
1598806650.073700,U016C8XH6NR,&gt; demo is only on wednesday :slightly_smiling_face: <@U0172CB3649> ,"Mon, 19 Jan 1970 12:06:46 GMT",,U0172CB3649,,0
1598799573.073300,U0172CB3649,Doesn’t this overlap with the Demo Days #2 (16:00-18:00 CEST)?,"Mon, 19 Jan 1970 12:06:39 GMT",,,,0
1598787322.072600,U016Q1J7Y83,What about 11AM EST on Thursday? ,"Mon, 19 Jan 1970 12:06:27 GMT",,,"[{""name"":""+1"",""users"":[""U017DKW89DW"",""U0169FVV2LF""],""count"":2}]",2
1598724923.072200,U0169MFLKQF,"<@U0172CM3049> I'm available anytime , thanks for your efforts :heart:","Mon, 19 Jan 1970 12:05:24 GMT",,U0172CM3049,,0
