id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1597862061.000800,U016Z7XQC7N,"
How do we tackle truth and defense?

how do we tackle this?

<https://apple.news/ATZfFRdcMSCiPkv1ACxy9Rg>","Mon, 19 Jan 1970 11:51:02 GMT",,,,0
1597268034.003400,U016Z7XQC7N,"Week 3 &amp; 4 updates for FREEFLO with BFLO for YESS!
Emerging from the Chrysalis
Helloo all! Our build is on! We have worked with our partner RSN on their verification standard and processes to confirm. It's been great to affirm what we are building is relevant to the real world use case of global divestment of cotton from supply chain.
<https://kernelofbflo.substack.com/p/emerging-from-the-chrysalis>","Mon, 19 Jan 1970 11:41:08 GMT",,,,0
1597224691.002900,UN4CVDLJ3,Yeah for sure I am free all week in the evenings. Your midday ish. Just send me a time.,"Mon, 19 Jan 1970 11:40:24 GMT",,,,0
1597206726.002300,U016Z7XQC7N,"<@UN4CVDLJ3> this sounds amazing! let us know what you have in mind.

I have been hoping to connect with you this week to do a proof of concept with the project for the cotton farmers and the reputation based credits. Can we check in on that?","Mon, 19 Jan 1970 11:40:06 GMT",,UN4CVDLJ3,,0
1597206588.000300,U016Z7XQC7N,yes!,"Mon, 19 Jan 1970 11:40:06 GMT",,,,0
1597176130.002100,UN4CVDLJ3,"Hey guys, just an update from me, I am currently putting together a DAO for a  carbon offset supply chain. So far we have a LidAR drone scanning carbon attestation platform, carbon credit attestation system, and us Creol for consumption of these credits within the built environement. If this is something that interests you guys let me know. I intend to deploy a testnet DAO this week that we will test around with.","Mon, 19 Jan 1970 11:39:36 GMT",,,,0
1597063254.000200,U018T5BGMJM,<@U018T5BGMJM> has joined the channel,"Mon, 19 Jan 1970 11:37:43 GMT",,,,0
1596694266.003000,U016Z7XQC7N,"<!channel>
It's been exciting to have so much progress - like the pupa in the cocoon, what is amorphous is now taking shape!

I just saw the email from Vivek that we have another breath as they re pushing the Aug 10th date...which I'm glad about.

""*The KERNEL Expo: 8/15 — 8/19*
August 15th, August 17th, and August 19th (delayed from next Monday -- perhaps a relief to some of you!) are the three days we are planning to host demo's for KERNEL Expo Week.""","Mon, 19 Jan 1970 11:31:34 GMT",1596694266.003000,,,0
1596701877.003100,UN4CVDLJ3,Wicked. Let me know how I can be helpful,"Mon, 19 Jan 1970 11:31:41 GMT",1596694266.003000,,"[{""name"":""party_parrot"",""users"":[""U016Z7XQC7N""],""count"":1,""url"":""https://emoji.slack-edge.com/T016DS66R99/party_parrot/55ed1d9e4ae00853.gif""}]",1
1596069398.003000,U016Z7XQC7N,<@U016Q825Y3U> responded in our dev channel. Love to meet 2 hours later as that's super early here still for cognitive conversation ~ :),"Mon, 19 Jan 1970 11:21:09 GMT",,U016Q825Y3U,,0
1596053775.001600,U016Q825Y3U,"hi all, are folks available tomorrow morning between 9:30-11:30 am ET?  I'd love to get those thinking about the technical pieces of this around the dashboard, how to set up the data reporting for FreeFLO, any thoughts on oracles for that (e.g. the mobile app/QR scanner for data providers I've proposed)","Mon, 19 Jan 1970 11:20:53 GMT",,,,0
1596003433.001300,U016Z7XQC7N,Even John Oliver is talking about it <https://www.youtube.com/watch?v=17oCQakzIl8>,"Mon, 19 Jan 1970 11:20:03 GMT",,,,0
1596000915.000700,U016Z7XQC7N,"Hello world - I am seeing this everywhere now....

...something to be said for second hand clothes....

<https://www.nytimes.com/2020/07/28/style/malaysia-forced-labor-garment-workers.html>","Mon, 19 Jan 1970 11:20:00 GMT",,,,0
1595911571.001200,U016Z7XQC7N,"Hello Hello!

Here is our project update! Week 2!
<https://kernelofbflo.substack.com/p/a-journey-though-the-underbelly>","Mon, 19 Jan 1970 11:18:31 GMT",,,"[{""name"":""+1"",""users"":[""U016QNB6M3M""],""count"":1}]",1
