id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1598884010.002000,U016H5ETT6J,Thanks Vivek! DMed <@U016QSTSQQM>,"Mon, 19 Jan 1970 12:08:04 GMT",,U016QSTSQQM,"[{""name"":""rocket"",""users"":[""U016QSTSQQM"",""U016HFP7P2A""],""count"":2}]",2
1598882942.000800,U016QSTSQQM,<@U016QSTSQQM> has joined the channel,"Mon, 19 Jan 1970 12:08:02 GMT",,,,0
1598882938.000400,U016C909613,from <@U016QSTSQQM> from demo day! :pray:,"Mon, 19 Jan 1970 12:08:02 GMT",,U016QSTSQQM,"[{""name"":""+1"",""users"":[""U017DN0DZ08"",""U016H5ETT6J"",""U016QSTSQQM"",""U016Z7XQC7N"",""U01748SCQ81""],""count"":5},{""name"":""raised_hands"",""users"":[""U016QSTSQQM""],""count"":1}]",6
1596673238.016500,U016Z7XQC7N,<@U016Z7XQC7N> has joined the channel,"Mon, 19 Jan 1970 11:31:13 GMT",,,,0
1596029273.016200,U0176G2AZFF,<@U0176G2AZFF> has joined the channel,"Mon, 19 Jan 1970 11:20:29 GMT",,,,0
1596029273.016000,U016W0C1FNG,<@U016W0C1FNG> has joined the channel,"Mon, 19 Jan 1970 11:20:29 GMT",,,,0
1596019492.011000,U016Q117G67,<@U016Q117G67> has joined the channel,"Mon, 19 Jan 1970 11:20:19 GMT",,,,0
1596019068.010600,U016H5ETT6J,"<@U016C909613> <@U016Q117G67> <@U016C8XH6NR> Finished our webinar presentation for an initiative between IIIT Kerala and Government of Kerala, India&gt; we have taken teachings from Andy’s course: <https://docs.google.com/presentation/d/1uXuh3iNRhPsBUDaIhcN1GhSvIkjBtPv81V7oCaTtQtE/edit?usp=sharing> and have attributed those things on slide 16, hope that’s ok with you guys and hope we got them right :sweat_smile:","Mon, 19 Jan 1970 11:20:19 GMT",1596019068.010600,"U016C909613,U016Q117G67,U016C8XH6NR","[{""name"":""heart"",""users"":[""U016C8XH6NR"",""U017DN0DZ08"",""U016C909613""],""count"":3}]",3
1596023001.011500,U016C909613,"amazing, that’s so cool ","Mon, 19 Jan 1970 11:20:23 GMT",1596019068.010600,,,0
1596023067.013000,U016C909613,"so you know, we have some connections at the IIT’s from some hackathons we did in 2018 — but maybe that’s more useful post MVP / demo day :wink::wink::wink:","Mon, 19 Jan 1970 11:20:23 GMT",1596019068.010600,,"[{""name"":""heart"",""users"":[""U016H5ETT6J"",""U017DN0DZ08""],""count"":2},{""name"":""party_parrot"",""users"":[""U016H5ETT6J"",""U017DN0DZ08""],""count"":2}]",4
1596023137.013200,U016Q117G67,you can take anything and everything which is appropriate for you. It's all CC0 :+1:,"Mon, 19 Jan 1970 11:20:23 GMT",1596019068.010600,,"[{""name"":""heart"",""users"":[""U016H5ETT6J"",""U017DN0DZ08"",""U01748SCQ81"",""U016HFP7P2A""],""count"":4}]",4
