id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1599136651.000500,U017T22FUBF,"Hello All, 
We are excited to share that we’ve started building our Decentralized Authentication standard (dAuth) to enable app developers to sign users in without collecting/keeping emails or even crypto wallet addresses, delegating the authentication entirely to the user and enabling a higher level of security for everyone. 

*We would love to connect with you if you would like to consider Silkey dAuth for your application. We are prepared to work with your team to implement it and take it to production.* 

Join our <#C017UCDRS05|project-silkey> If you have any feedback for us or would like to stay updated on our project progress. 

About Silkey dAuth 
<https://silkey.io/developers/>

Product demo
<https://www.loom.com/share/5a88ee840f1447c58a690386232bae3e>","Mon, 19 Jan 1970 12:12:16 GMT",,,"[{""name"":""seedling"",""users"":[""U016C8XH6NR"",""U016SRX7V1R""],""count"":2}]",2
1598547197.008500,U017DKW89DW,"<@U017N4HS1SN> and I talked a couple of weeks ago about a website that would list all blockchain projects and verify how true they are to core blockchain values.

I interact with a lot of web2 people who assume all blockchain projects adhere to the fundamental blockchain values and adopt “centralized” platforms / frameworks / apps with decentralized tendencies or are labelled as blockchain (ex. Facebook’s Libra).

A website that lists all blockchain projects and verify how decentralized it is would be helpful in educating people in web2 and web3 space. I don’t have the capacity to bring this life but if anyone is working on something similar or wants to work on this, please let me know!","Mon, 19 Jan 1970 12:02:27 GMT",1598547197.008500,U017N4HS1SN,"[{""name"":""+1"",""users"":[""U0169FVV2LF"",""U0169MFLKQF"",""U016X212QMA"",""U016BTBS3MM""],""count"":4}]",4
1598551576.009900,U016X212QMA,"That's interesting, maybe it could be with a product hunt type of thing where user can upvote projects to get a ranking ","Mon, 19 Jan 1970 12:02:31 GMT",1598547197.008500,,"[{""name"":""+1"",""users"":[""U016HTJ5Q4W""],""count"":1}]",1
1598554541.010500,U0169FVV2LF,Cool idea,"Mon, 19 Jan 1970 12:02:34 GMT",1598547197.008500,,,0
1598618019.011200,U016HTJ5Q4W,I like the product hunt type idea,"Mon, 19 Jan 1970 12:03:38 GMT",1598547197.008500,,,0
1598618041.011400,U016HTJ5Q4W,community curated list,"Mon, 19 Jan 1970 12:03:38 GMT",1598547197.008500,,,0
1598387226.002500,U0173EZ90AD,"Finally created <#C018ZLQ3S5V|project-akropolis> for anyone interested - though I would not be able to full maintain it with long texts atm, work overload haha","Mon, 19 Jan 1970 11:59:47 GMT",,,"[{""name"":""+1"",""users"":[""U017DKW89DW""],""count"":1}]",1
1597222770.001200,U016NEJETQV,How is everyone feeling with the current gas costs?,"Mon, 19 Jan 1970 11:40:22 GMT",1597222770.001200,,"[{""name"":""bear"",""users"":[""U016NEJETQV"",""U016C8XH6NR"",""U0169JV8C95"",""U016C909613"",""U017G0TNCFN"",""U0172CB3649""],""count"":6},{""name"":""cry"",""users"":[""U016WQPK6J0"",""U016C8XH6NR"",""U0169JV8C95"",""U016C909613"",""U016PUP7D5Z"",""U017G0TNCFN"",""U016Q1TSFSN"",""U016A43FT0F"",""U01732696SV"",""U016Z7XQC7N""],""count"":10},{""name"":""sadparrot"",""users"":[""U0172CM3049"",""U016C8XH6NR"",""U016C909613"",""U017G0TNCFN"",""U016WSQKPCL"",""U0172CB3649""],""count"":6}]",22
1597222938.001700,U017EF8VBS4,<https://blog.blocknative.com/blog/mempool-forensics> we had a short discussion on this yesterday,"Mon, 19 Jan 1970 11:40:22 GMT",1597222770.001200,,,0
1597223002.002000,U017EF8VBS4,theories on why gas price oracles could be getting biased via the mempool transactions.,"Mon, 19 Jan 1970 11:40:23 GMT",1597222770.001200,,,0
1597223831.002300,U016HTJ5Q4W,"isn't that all current pursue of yield in defi? users are ready to pay tx costs because they hope to make even more. at the same time network becomes unusable for everybody else. or we wait till defi bubble bursts, or we move everything else to L2 or maybe even to a different chain (?)","Mon, 19 Jan 1970 11:40:23 GMT",1597222770.001200,,,0
1597226875.003200,U016NEJETQV,"As far as I understand this 'leaderboard' table displays where the gas is going, currently it looks like the network is congested because of two scams
<https://ethgasstation.info/>","Mon, 19 Jan 1970 11:40:26 GMT",1597222770.001200,,,0
1598301530.001400,U016UNBDY5R,Tether moving to OMG had a positive effect. Wondering if other high volume projects should follow suit,"Mon, 19 Jan 1970 11:58:21 GMT",1597222770.001200,,"[{""name"":""+1"",""users"":[""U016NEJETQV""],""count"":1}]",1
1596735837.162700,U01692ECHKR,I just created <#C018EE0AH9R|project-ryder> to make it easier to put all info together. Feel free to join even if you have no hardware experience. Any input is welcome and I would like to discuss and test UX very soon. Cooking something up on that front right now. We can also use the channel to discuss hardware and IoT in general. See you there!,"Mon, 19 Jan 1970 11:32:15 GMT",,,"[{""name"":""raised_hands"",""users"":[""U016A43FT0F"",""U016PVCCZDG"",""U0172G1A28H"",""U017DKW89DW""],""count"":4}]",4
