id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1597862862.152100,U017DN0DZ08,<https://twitter.com/EF_ESP/status/1296110819604922369>,"Mon, 19 Jan 1970 11:51:02 GMT",,,,0
1597862857.151900,U017DN0DZ08,Incredibly proud and humbled to share our (Ethereum Push Notification Service) story. Ethereum blog just published it and we are so happy to share it with you guys. Gitcoin Kernel will forever be an integral part of our #buidl journey :seedling:,"Mon, 19 Jan 1970 11:51:02 GMT",1597862857.151900,,"[{""name"":""heart"",""users"":[""U016C909613"",""U018QN6A932"",""U016Z7XQC7N"",""U017D9ZR6KX"",""U0169MFLKQF"",""U016NEJETQV""],""count"":6}]",6
1597924538.000200,U016C909613,"great to see it Richa! ESP is great (cc <@U017D9ZR6KX>), glad to see <@U018QN6A932> on here as well :smile:","Mon, 19 Jan 1970 11:52:04 GMT",1597862857.151900,"U017D9ZR6KX,U018QN6A932","[{""name"":""raised_hands"",""users"":[""U017DN0DZ08"",""U018QN6A932"",""U017D9ZR6KX""],""count"":3}]",3
1597438781.145900,U016Q117G67,other relevant thoughts <@U017EF8VBS4> <https://www.youtube.com/watch?v=Bm9qKj1Q_OU>,"Mon, 19 Jan 1970 11:43:58 GMT",1597438781.145900,U017EF8VBS4,,0
1597444337.146200,U017EF8VBS4,quite a memorable movie. dis gonna be naice,"Mon, 19 Jan 1970 11:44:04 GMT",1597438781.145900,,,0
1597445330.146400,U017EF8VBS4,“desert of the real” was quite an eyeopening book at the time I was ~23!,"Mon, 19 Jan 1970 11:44:05 GMT",1597438781.145900,,,0
1597445547.146600,U017EF8VBS4,<https://www.netflix.com/title/80190535> Another good one with more of these relevant thoughts.,"Mon, 19 Jan 1970 11:44:05 GMT",1597438781.145900,,,0
1597445631.146900,U017EF8VBS4,Much more subtle than Snow-piercer but definitely as well painting the same picture..,"Mon, 19 Jan 1970 11:44:05 GMT",1597438781.145900,,,0
1597067329.143800,U016Q117G67,"*Nothing to Save*

There is nothing to save, now all is lost,
but a tiny core of stillness in the heart
like the eye of a violet.

- DH Lawrence","Mon, 19 Jan 1970 11:37:47 GMT",,,"[{""name"":""heart"",""users"":[""U016M08G1M4"",""U017E2A2KPS"",""U016NEJETQV"",""U016DN2FYQ7"",""U017EF8VBS4"",""U016Z7XQC7N""],""count"":6}]",6
1596141131.135400,U017J0ESE48,"So... after burning savings for the past 3 years trying to succeed trading the stock market, i decided to take a break a month ago, about the same time I joined Kernel.
Today, I earned my first pay in 3 years from working for a client.
I'm feeling so grateful and happy :pray:","Mon, 19 Jan 1970 11:22:21 GMT",1596141131.135400,,"[{""name"":""pray"",""users"":[""U017DN0DZ08"",""U016C8XH6NR"",""U0172CM3049"",""U016C909613"",""U016Z7XQC7N"",""U016Q1TSFSN"",""U017E2A2KPS"",""U016NEJETQV"",""U017G0TNCFN"",""U0169JE8HV5"",""U018SQK276U"",""U0172CTQ3A5"",""U017XT3GPT3"",""U0169JV8C95"",""U0169D94QCX""],""count"":15},{""name"":""heart"",""users"":[""U017E2A2KPS"",""U017G0TNCFN"",""U0169JE8HV5"",""U016DN2FYQ7""],""count"":4},{""name"":""male_mage"",""users"":[""U016NEJETQV"",""U017G0TNCFN""],""count"":2},{""name"":""rocket"",""users"":[""U016NEJETQV"",""U017G0TNCFN"",""U0169JE8HV5"",""U016PVCCZDG""],""count"":4},{""name"":""fire"",""users"":[""U016M08G1M4"",""U018SQK276U""],""count"":2}]",27
1597172190.144400,U0169D94QCX,What lessons did you learn? :slightly_smiling_face:,"Mon, 19 Jan 1970 11:39:32 GMT",1596141131.135400,,,0
1597697921.147300,U017J0ESE48,"It is very hard to trade without having a stable source of $$ because it adds too much stress -- unless if i am an expert, which I am not.

Also, looking back at this 18 days later, i would also say, that having some diversity can be healthy even if a bit tough to manage","Mon, 19 Jan 1970 11:48:17 GMT",1596141131.135400,,"[{""name"":""+1"",""users"":[""U0169D94QCX""],""count"":1}]",1
1596050616.133300,U016Q117G67,"I've been thinking a lot - on and off over the last two years - about maths as a visual language, and Euler's theorem, and the problem of education. It was always a sadness for me that so many of my friends in school just didn't ""get"" why you can tell the most beautiful stories with equations, especially when you see them as something other than strange symbols arranged linearly on a page. I think the Riemann Zeta function is perhaps one of the most beautiful examples of this, and here is a mond-bogglingly cool video. If you're not a maths geek then just go to 9:45, watch for a few seconds and then (hopefully!) go back to the start and watch in full :wink:

<https://www.youtube.com/watch?v=sD0NjbwqlYw>","Mon, 19 Jan 1970 11:20:50 GMT",,,"[{""name"":""heart"",""users"":[""U016M08G1M4"",""U016PP38YLA"",""U017E2A2KPS"",""U01733WAA1F"",""U017EF8VBS4"",""U016H5ETT6J""],""count"":6}]",6
